dataname,vulnerability,function_name
2018-13071,Access Control,freezeAccount
2018-13071,Access Control,setPrices
2018-13071,Access Control,transfer
2018-13071,Access Control,transferFrom
2018-13072,Integer Overflow,buy
2018-13072,Integer Overflow,mintToken
2018-13072,Integer Overflow,transfer
2018-13072,Integer Overflow,transferFrom
2018-13072,Integer Overflow,withdrawToOwner
2018-13670,Typo Constructor,setMinBalance
2018-13670,Typo Constructor,mintToken
2018-13670,Typo Constructor,freezeAccount
2018-13670,Typo Constructor,setPrices
2018-13670,Typo Constructor,buy
2018-10376,Integer Overflow,allocateTokens
2018-10376,Integer Overflow,transferProxy
2021-33403,Typo Constructor,setExchangeRate
2021-33403,Typo Constructor,setICORunning
2021-33403,Typo Constructor,setTransfer
2021-33403,Typo Constructor,addInitialInvestor
2021-33403,Typo Constructor,addToken
2018-14003,Integer Overflow,TokenERC20
2018-11429,Integer Overflow,mint
2018-11429,Access Control,unfreeze
2018-11429,Access Control,transfer
2018-11429,Access Control,transferFrom
2018-11429,Access Control,approve
2018-13070,Typo Constructor,EncryptedToken
2018-13070,Integer Overflow,buy
2018-13070,Wrong Logic,buy
2018-13070,Bad Randomness,buy
2018-13070,Access Control,buy
2018-13073,Access Control,mintToken
2018-13073,Access Control,freezeAccount
2018-13073,Access Control,setPrices
2018-13073,Access Control,transfer
2018-13073,Access Control,transferFrom
2018-14715,Integer Overflow,mint
2018-14715,Integer Overflow,mintBatch
2018-14715,Integer Overflow,mintPack
2018-12885,Integer Overflow,randMod
2018-12885,Integer Overflow,getChampReward
2018-12885,Wrong Logic,getChampReward
2018-12885,Bad Randomness,getChampReward
2018-12885,Typo Constructor,getChampReward
2018-13084,Integer Overflow,transfer
2018-13084,Integer Overflow,transferFrom
2018-13084,Integer Overflow,burn
2018-13084,Integer Overflow,burnFrom
2018-13084,Integer Overflow,buy
2018-13079,Integer Overflow,burn
2018-13079,Integer Overflow,burnFrom
2018-13079,Integer Overflow,transfer
2018-13079,Integer Overflow,transferFrom
2018-13079,Integer Overflow,buy
2018-14086,Integer Overflow,MyToken
2018-14086,Integer Overflow,transfer
2018-14086,Integer Overflow,mintToken
2018-14086,Integer Overflow,sell
2018-14086,Integer Overflow,setMinBalance
2018-19833,Integer Overflow,transfer
2018-19833,Integer Overflow,burn
2018-19833,Integer Overflow,mintToken
2018-14089,Integer Overflow,burn
2018-14089,Access Control,setAIRDROPBounce
2018-14089,Access Control,setICORatio
2018-14089,Access Control,setMINfinney
2018-15552,Integer Overflow,AddTicket
2018-15552,Integer Overflow,PayWinner
2018-15552,Access Control,AddTicket
2018-15552,Access Control,withdraw
2019-15078,Integer Overflow,getTokens
2019-15078,Integer Overflow,distr
2019-15078,Access Control,getTokens
2019-15078,Typo Constructor,getTokens
2019-15078,Bad Randomness,getTokens
2018-13085,Typo Constructor,TokenERC20
2018-13085,Typo Constructor,balanceOf
2018-14063,Integer Overflow,totalSupply
2018-14063,Integer Overflow,transfer
2018-14063,Integer Overflow,transferFrom
2018-14063,Integer Overflow,increaseApproval
2018-14063,Integer Overflow,decreaseApproval
2018-13087,Integer Overflow,burn
2018-13087,Integer Overflow,burnFrom
2018-13087,Integer Overflow,transfer
2018-13087,Integer Overflow,transferFrom
2018-13087,Integer Overflow,buy
2018-12070,Typo Constructor,SECToken
2018-12070,Integer Overflow,_transfer
2018-12070,Wrong Logic,_transfer
2018-13698,Integer Overflow,mintTokens
2018-13698,Access Control,setPromo
2018-13698,Integer Overflow,transfer
2018-13698,Integer Overflow,transferFrom
2019-15079,Integer Overflow,EAI_TokenERC20
2019-15079,Integer Overflow,_transfer
2019-15079,Integer Overflow,transfer
2019-15079,Integer Overflow,transferFrom
2019-15079,Integer Overflow,burn
2018-14087,Typo Constructor,EncryptedToken
2018-14087,Integer Overflow,buy
2018-14087,Wrong Logic,buy
2018-14087,Bad Randomness,buy
2018-14087,Access Control,selfdestructs
2018-12067,Integer Overflow,transfer
2018-12067,Integer Overflow,transferFrom
2018-12067,Integer Overflow,buy
2018-12067,Integer Overflow,sell
2018-12067,Integer Overflow,mintToken
2018-18665,Typo Constructor,balanceOf
2018-18665,Typo Constructor,approve
2018-18665,Typo Constructor,allowance
2018-18665,Typo Constructor,transfer
2018-18665,Typo Constructor,transferFrom
2021-34272,Integer Overflow,burn
2021-34272,Integer Overflow,burnFrom
2021-34272,Integer Overflow,transfer
2021-34272,Integer Overflow,transferFrom
2021-34272,Integer Overflow,buy
2018-13703,Integer Overflow,sellOffline
2018-13703,Integer Overflow,setEthRate
2018-13703,Integer Overflow,setTokenPrice
2018-13703,Wrong Logic,setTransferStatus
2018-13703,Wrong Logic,changeIcoStatus
2018-13069,Integer Overflow,TokenERC20
2021-3004,Integer Overflow,stake
2021-3004,Integer Overflow,unstake
2021-3004,Integer Overflow,notifyFeeAmount
2021-3004,Integer Overflow,rewardPerToken
2021-3004,Integer Overflow,earned
2018-13127,Integer Overflow,mint
2018-13127,Access Control,unfreeze
2018-13127,Access Control,transfer
2018-13127,Access Control,transferFrom
2018-13127,Access Control,approve
2018-14084,Access Control,selfdestructs
2018-14084,Access Control,getEth
2018-14084,Access Control,newinitialSupply
2018-14084,Integer Overflow,buy
2018-14084,Integer Overflow,sell
2018-13327,Typo Constructor,ChuCunLingAIGO
2018-13327,Typo Constructor,approveAndCall
2018-13327,Integer Overflow,ChuCunLingAIGO
2018-13327,Integer Overflow,transferFrom
2018-13327,Integer Overflow,transfer
2018-11411,Integer Overflow,distributeFUD
2018-11411,Integer Overflow,transfer
2018-11411,Integer Overflow,transferFrom
2018-11411,Access Control,withdrawForeignTokens
2018-11411,Typo Constructor,getEthBalance
2018-12511,Integer Overflow,transfer
2018-12511,Integer Overflow,transferFrom
2018-12511,Integer Overflow,mintToken
2018-12511,Integer Overflow,buy
2018-12511,Integer Overflow,sell
2018-11335,Integer Overflow,mint
2018-11335,Access Control,transfer
2018-11335,Access Control,transferFrom
2018-11335,Access Control,approve
2018-11335,Access Control,migrate
2018-13089,Integer Overflow,burn
2018-13089,Integer Overflow,burnFrom
2018-13089,Integer Overflow,transfer
2018-13089,Integer Overflow,transferFrom
2018-13089,Integer Overflow,buy
2018-13086,Integer Overflow,burn
2018-13086,Integer Overflow,burnFrom
2018-13086,Integer Overflow,transfer
2018-13086,Integer Overflow,transferFrom
2018-13086,Integer Overflow,buy
2018-13228,Access Control,mintToken
2018-13228,Access Control,freezeAccount
2018-13228,Access Control,setPrices
2018-13228,Access Control,transfer
2018-13228,Access Control,transferFrom
2018-12080,Access Control,INTToken
2018-12080,Typo Constructor,INTToken
2018-17882,Integer Overflow,safeAdd
2018-17882,Integer Overflow,safeSub
2018-17882,Integer Overflow,create
2018-17882,Integer Overflow,transferFrom
2018-17882,Integer Overflow,batchTransfer
2018-12084,Integer Overflow,transfer
2018-12084,Integer Overflow,transferFrom
2018-12084,Integer Overflow,mintToken
2018-12084,Typo Constructor,BitAseanToken
2018-13074,Integer Overflow,TokenERC20
2020-17752,Typo Constructor,MON
2019-15080,Typo Constructor,MorphToken
2019-15080,Integer Overflow,transfer
2019-15080,Integer Overflow,transferFrom
2019-15080,Integer Overflow,mintTokens
2019-15080,Integer Overflow,burn
2018-13778,Integer Overflow,transfer
2018-13778,Integer Overflow,transferFrom
2018-13778,Integer Overflow,burn
2018-13778,Integer Overflow,burnFrom
2018-13778,Typo Constructor,CGCToken
2018-13082,Integer Overflow,burn
2018-13082,Integer Overflow,burnFrom
2018-13082,Integer Overflow,transfer
2018-13082,Integer Overflow,transferFrom
2018-13082,Integer Overflow,buy
2018-12025,Token Devalue,mintToken
2018-12025,Typo Constructor,mintToken
2018-12025,Integer Overflow,transfer
2018-12025,Integer Overflow,transferFrom
2018-12081,Integer Overflow,transfer
2018-12081,Integer Overflow,transferFrom
2018-12081,Integer Overflow,buy
2018-12081,Integer Overflow,sell
2018-12081,Integer Overflow,mintToken
2018-17111,Typo Constructor,Coinlancer
2018-17111,Integer Overflow,transfer
2018-17111,Integer Overflow,transferFrom
2018-17111,Access Control,approve
2018-17111,Access Control,allowance
2018-11239,Integer Overflow,burn
2018-11239,Integer Overflow,_transfer
2018-13077,Integer Overflow,burn
2018-13077,Integer Overflow,burnFrom
2018-13077,Integer Overflow,transfer
2018-13077,Integer Overflow,transferFrom
2018-13077,Integer Overflow,buy
2018-12959,Integer Overflow,totalSupply
2018-12959,Integer Overflow,balanceOf
2018-12959,Integer Overflow,transfer
2018-12959,Integer Overflow,transferFrom
2018-12959,Integer Overflow,approve
2018-13068,Integer Overflow,mintToken
2018-13068,Integer Overflow,burn
2018-13068,Integer Overflow,burnFrom
2018-13068,Integer Overflow,transfer
2018-13068,Integer Overflow,transferFrom
2018-11446,Integer Overflow,increaseTotalSupply
2018-11446,Integer Overflow,transfer
2018-11446,Integer Overflow,reward
2018-11446,Integer Overflow,transferFrom
2018-11446,Integer Overflow,burn
2018-19832,Integer Overflow,getTokens
2018-19832,Integer Overflow,distr
2018-19832,Integer Overflow,burn
2018-19832,Access Control,getTokens
2018-19832,Typo Constructor,getTokens
2018-13083,Integer Overflow,mintToken
2018-13083,Integer Overflow,burn
2018-13083,Integer Overflow,burnFrom
2018-13083,Integer Overflow,transfer
2018-13083,Integer Overflow,transferFrom
2018-13090,Integer Overflow,TokenERC20
2018-13090,Integer Overflow,_transfer
2018-13090,Integer Overflow,YiTongCoin
2018-13090,Integer Overflow,buy
2018-13090,Integer Overflow,sell
2018-13220,Access Control,mintToken
2018-13220,Access Control,freezeAccount
2018-13220,Access Control,setPrices
2018-13220,Access Control,transfer
2018-13220,Access Control,transferFrom
2018-12063,Access Control,INTToken
2018-12063,Typo Constructor,INTToken
2018-13092,Access Control,mintToken
2018-13092,Typo Constructor,mintToken
2018-13092,Integer Overflow,mintToken
2018-13092,Integer Overflow,_transfer
2018-13092,Integer Overflow,balanceOf
2018-12082,Access Control,withdrawToOwner
2018-12082,Integer Overflow,transfer
2018-12082,Integer Overflow,transferFrom
2018-12082,Integer Overflow,buy
2018-12082,Integer Overflow,mintToken
2018-19831,Integer Overflow,Mining24
2018-19831,Integer Overflow,setParameters
2018-19831,Integer Overflow,getTokens
2018-19831,Integer Overflow,distributeAmounts
2018-19831,Integer Overflow,burn
2018-13225,Integer Overflow,transfer
2018-13225,Integer Overflow,transferFrom
2018-13225,Integer Overflow,buy
2018-13225,Integer Overflow,sell
2018-13225,Integer Overflow,burn
2018-19834,Access Control,quaker
2018-19834,Access Control,mint
2018-19834,Access Control,pullBack
2018-19834,Typo Constructor,totalSupply
2018-19834,Token Devalue,totalSupply
2018-13783,Integer Overflow,TokenERC20
2018-13783,Integer Overflow,_transfer
2018-13783,Integer Overflow,transfer
2018-13783,Integer Overflow,transferFrom
2018-13783,Integer Overflow,approve
2018-13221,Access Control,mintToken
2018-13221,Access Control,setPrices
2018-13221,Integer Overflow,buy
2018-13221,Integer Overflow,sell
2018-13221,Integer Overflow,transfer
2018-12975,Integer Overflow,mint
2018-12975,Integer Overflow,addExp
2018-12975,Integer Overflow,addDeposit
2018-12975,Integer Overflow,levelUp
2018-12975,Integer Overflow,random
2018-12454,Integer Overflow,setBettingCondition
2018-12454,Integer Overflow,addguess
2018-13782,Access Control,transfer
2018-13782,Access Control,transferFrom
2018-13782,Access Control,mintToken
2018-13782,Integer Overflow,buy
2018-13782,Integer Overflow,sell
2018-13779,Integer Overflow,transfer
2018-13779,Integer Overflow,transferFrom
2018-13779,Integer Overflow,buy
2018-13779,Integer Overflow,sell
2018-13779,Integer Overflow,burn
2018-13836,Integer Overflow,setupAirDrop
2018-13836,Integer Overflow,multiTransfer
2018-13836,Integer Overflow,transferFrom
2018-13836,Integer Overflow,transfer
2018-13836,Integer Overflow,balanceOf
2018-14576,Access Control,SunContractToken
2018-19830,Access Control,transfer
2018-19830,Access Control,transferFrom
2018-19830,Access Control,switchLiquidity
2018-19830,Typo Constructor,UBSexToken
2018-19830,Token Devalue,UBSexToken
2018-10944,Integer Overflow,__callback
2018-10944,Integer Overflow,stringToUint
2018-10944,Wrong Logic,convert
2018-10944,Access Control,drain
2018-10944,Access Control,transfer_ownership
2018-14002,Access Control,MP3Coin
2018-14002,Integer Overflow,transfer
2018-14002,Integer Overflow,transferFrom
2018-14002,Integer Overflow,distribute
2018-14002,Integer Overflow,approve
2018-13113,Integer Overflow,transfer
2018-13113,Integer Overflow,transferFrom
2018-13113,Integer Overflow,approveAndCall
2018-13113,Typo Constructor,HashnodeTestCoin
2018-13113,Access Control,HashnodeTestCoin
2018-14004,Access Control,developer_Coin_Character
2018-14004,Access Control,developer_new_address_for_funds
2018-14004,Access Control,developer_add_Exchanges
2018-14004,Access Control,developer_add_cost_of_transfers
2018-14004,Access Control,developer_new_price
2018-12078,Integer Overflow,transfer
2018-12078,Integer Overflow,transferFrom
2018-12078,Integer Overflow,mintToken
2018-12078,Access Control,freezeAccount
2018-13144,Integer Overflow,balanceOf
2018-13144,Integer Overflow,transfer
2018-13144,Integer Overflow,transferFrom
2018-13144,Integer Overflow,approve
2018-13144,Integer Overflow,allowance
