dataname,vulnerability_CodeLlama,function_name_CodeLlama,match_CodeLlama,vulnerability_CodeGemma,function_name_CodeGemma,match_CodeGemma,vulnerability_Deepseek,function_name_Deepseek,match_Deepseek,vulnerability_Nxcode,function_name_Nxcode,match_Nxcode,vulnerability_Openinterpreter,function_name_Openinterpreter,match_Openinterpreter,case
CVE-2018-13131,Integer Overflow,mint,True,Integer Overflow,mint,True,Integer Overflow,mint,True,Integer Overflow,mint,True,Integer Overflow,mint,True,easy
CVE-2018-13144,Integer Overflow,Multiple Functions,False,Integer Overflow,Multiple Functions,False,Integer Overflow,Multiple Functions,False,Integer Overflow,Multiple Functions,False,Integer Overflow,Multiple Functions,False,hard
CVE-2018-13220,Integer Overflow,sell,False,Integer Overflow,sell,True,Integer Overflow,sell,True,Integer Overflow,sell,False,Integer Overflow,sell,False,medium
CVE-2018-13221,Integer Overflow,sell,True,Integer Overflow,sell,True,Integer Overflow,sell,True,Integer Overflow,sell,False,Integer Overflow,sell,False,medium
CVE-2018-13225,Integer Overflow,sell,False,Integer Overflow,sell,False,Integer Overflow,sell,False,Integer Overflow,sell,False,Integer Overflow,sell,False,hard
CVE-2018-13228,Integer Overflow,sell,True,Integer Overflow,sell,True,Integer Overflow,sell,True,Integer Overflow,sell,False,Integer Overflow,sell,True,medium
CVE-2018-13230,Integer Overflow,sell,False,Integer Overflow,sell,True,Integer Overflow,sell,True,Integer Overflow,sell,False,Integer Overflow,sell,False,medium
CVE-2018-13533,Integer Overflow,mintToken,False,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,medium
CVE-2018-13703,Integer Overflow,mintToken,False,Integer Overflow,mintToken,False,Integer Overflow,mintToken,False,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,medium
CVE-2018-13777,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,easy
CVE-2018-13783,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,easy
CVE-2018-14001,Integer Overflow,batchTransfer,True,Integer Overflow,batchTransfer,False,Integer Overflow,batchTransfer,True,Integer Overflow,batchTransfer,False,Integer Overflow,batchTransfer,False,medium
CVE-2018-14005,Integer Overflow,transferAny,False,Integer Overflow,transferAny,True,Integer Overflow,transferAny,True,Integer Overflow,transferAny,True,Integer Overflow,transferAny,False,medium
CVE-2018-14063,Integer Overflow,increaseApproval,True,Integer Overflow,increaseApproval,False,Integer Overflow,increaseApproval,True,Integer Overflow,increaseApproval,False,Integer Overflow,increaseApproval,False,medium
CVE-2018-14086,Integer Overflow,setPrices,True,Integer Overflow,setPrices,True,Integer Overflow,setPrices,True,Integer Overflow,setPrices,False,Integer Overflow,setPrices,False,medium
CVE-2018-14576,Integer Overflow,mintTokens,True,Integer Overflow,mintTokens,True,Integer Overflow,mintTokens,True,Integer Overflow,mintTokens,True,Integer Overflow,mintTokens,False,medium
CVE-2018-17050,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,easy
CVE-2018-18425,Token Devalue,doAirdrop,True,Token Devalue,doAirdrop,True,Token Devalue,doAirdrop,False,Token Devalue,doAirdrop,False,Token Devalue,doAirdrop,False,medium
CVE-2018-19831,Access Control,ToOwner,False,Access Control,ToOwner,False,Access Control,ToOwner,False,Access Control,ToOwner,False,Access Control,ToOwner,False,hard
CVE-2018-19832,Access Control,NETM,False,Access Control,NETM,False,Access Control,NETM,False,Access Control,NETM,False,Access Control,NETM,False,hard
CVE-2020-17752,Integer Overflow,Not Provided,True,Integer Overflow,Not Provided,False,Integer Overflow,Not Provided,False,Integer Overflow,Not Provided,False,Integer Overflow,Not Provided,False,medium
CVE-2020-17753,Access Control,addMeByRC,False,Access Control,addMeByRC,False,Access Control,addMeByRC,False,Access Control,addMeByRC,False,Access Control,addMeByRC,False,hard
CVE-2021-33403,Integer Overflow,transfer,True,Integer Overflow,transfer,True,Integer Overflow,transfer,True,Integer Overflow,transfer,False,Integer Overflow,transfer,False,medium
CVE-2021-34270,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,True,Integer Overflow,mintToken,False,medium
CVE-2021-34273,Access Control,owned,False,Access Control,owned,True,Access Control,owned,False,Access Control,owned,False,Access Control,owned,False,medium
