file,contract,ground truth,vul_type
1704,State,0,timestamp dependency
1704,Core,0,timestamp dependency
1704,ExternalView,1,timestamp dependency
1704,Internal,0,timestamp dependency
1704,WinnerWinner,1,timestamp dependency
1735,moduleTokenInterface,0,timestamp dependency
1735,moduleToken,0,timestamp dependency
1774,PyramidofKhufu,0,timestamp dependency
1826,ReentrancyGuard,0,timestamp dependency
1826,Ownable,0,timestamp dependency
1826,JobsBounty,1,timestamp dependency
2293,RBACMixin,0,timestamp dependency
2293,TokenBucket,0,timestamp dependency
2315,ETHERlemon,1,timestamp dependency
2389,FsTKAuthority,0,timestamp dependency
2389,Authorizable,0,timestamp dependency
2389,ERC20,0,timestamp dependency
2389,SecureERC20,0,timestamp dependency
2389,FsTKToken,0,timestamp dependency
2389,ERC20Like,1,timestamp dependency
2389,FsTKAllocation,0,timestamp dependency
2389,FunderSmartToken,0,timestamp dependency
2391,FsTKColdWallet,1,timestamp dependency
2596,BreakTheBank,0,timestamp dependency
2598,F3Devents,0,timestamp dependency
2598,modularShort,0,timestamp dependency
2598,FoMo3Dshort,0,timestamp dependency
2599,Snow,0,timestamp dependency
2599,F3Devents,0,timestamp dependency
2599,modularShort,0,timestamp dependency
2599,SnowStorm,0,timestamp dependency
2622,F3Devents,0,timestamp dependency
2622,modularShor,0,timestamp dependency
2622,NewChance,0,timestamp dependency
2641,ERC20Basic,0,timestamp dependency
2641,SafeMath,0,timestamp dependency
2641,Ownable,0,timestamp dependency
2641,Haltable,0,timestamp dependency
2641,PricingStrategy,0,timestamp dependency
2641,FinalizeAgent,0,timestamp dependency
2641,ERC20,0,timestamp dependency
2641,FractionalERC20Ext,0,timestamp dependency
2641,CrowdsaleExt,1,timestamp dependency
2641,StandardToken,0,timestamp dependency
2641,UpgradeAgent,0,timestamp dependency
2641,UpgradeableToken,1,timestamp dependency
2641,ReleasableToken,0,timestamp dependency
2641,MintableTokenExt,0,timestamp dependency
2641,CrowdsaleTokenExt,0,timestamp dependency
2641,ReservedTokensFinalizeAgent,0,timestamp dependency
2646,SafeMath,0,timestamp dependency
2646,ERC20Basic,0,timestamp dependency
2646,Ownable,0,timestamp dependency
2646,Haltable,0,timestamp dependency
2646,PricingStrategy,0,timestamp dependency
2646,FinalizeAgent,0,timestamp dependency
2646,ERC20,0,timestamp dependency
2646,FractionalERC20Ext,0,timestamp dependency
2646,CrowdsaleExt,1,timestamp dependency
2646, StandardToken,0,timestamp dependency
2646,MintableTokenExt,0,timestamp dependency
2655,F3Devents,0,timestamp dependency
2655,modularShort,0,timestamp dependency
2655,FOMO3TEST1,0,timestamp dependency
2684,F3Devents,0,timestamp dependency
2684,modularLong,0,timestamp dependency
2684,FoMo3Dlong,0,timestamp dependency
2688,F3Devents,0,timestamp dependency
2688,F3d,1,timestamp dependency
2699,F3Devents,0,timestamp dependency
2699,modularShort,0,timestamp dependency
2699,PoHMO4D,0,timestamp dependency
2711,ERC20Interface,0,timestamp dependency
2711,ExhibationLinkingCoin,1,timestamp dependency
2716,ERC20Basic,0,timestamp dependency
2716,Ownable,0,timestamp dependency
2716,ERC20,0,timestamp dependency
2716,StandardToken,0,timestamp dependency
2716,HasNoEther,0,timestamp dependency
2716,BasicToken,0,timestamp dependency
2716,Scale,0,timestamp dependency
2717,F3Devents,0,timestamp dependency
2717,modularLong,0,timestamp dependency
2717,FoMo3Dlong,0,timestamp dependency
2723,RSEvents,0,timestamp dependency
2723,modularLastUnicorn,0,timestamp dependency
2723,LastUnicorn,0,timestamp dependency
2736,Ownable,0,timestamp dependency
2736,ERC20Basic,0,timestamp dependency
2736,ERC20,0,timestamp dependency
2736,DisbursementHandler,1,timestamp dependency
2736,Vault,0,timestamp dependency
2736,Whitelistable,0,timestamp dependency
2736,TimedStateMachine,1,timestamp dependency
2736,TokenControllerI,0,timestamp dependency
2736,BasicToken,0,timestamp dependency
2736,StandardToken,0,timestamp dependency
2736,ControllableToken,0,timestamp dependency
2736,DetailedERC20,0,timestamp dependency
2736,Token,0,timestamp dependency
2736,Sale,0,timestamp dependency
2736,FoamSale,0,timestamp dependency
2745,F3Devents,0,timestamp dependency
2745,FoMoRapid,0,timestamp dependency
2750,RSEvents,0,timestamp dependency
2750,modularRatScam,0,timestamp dependency
2750,RatScam,0,timestamp dependency
2754,LBevents,0,timestamp dependency
2754,modularShort,0,timestamp dependency
2754,LB,0,timestamp dependency
2755,ERC20Token,0,timestamp dependency
2755,TokenSafe ,0,timestamp dependency
2755,HasOwner,0,timestamp dependency
2755,AbstractFundraiser,0,timestamp dependency
2755,BasicFundraiser,0,timestamp dependency
2755,CappedFundraiser,0,timestamp dependency
2755,GasPriceLimitFundraiser,0,timestamp dependency
2755,IndividualCapsFundraiser,0,timestamp dependency
2755,StandardToken,0,timestamp dependency
2755,MintableToken,0,timestamp dependency
2755,StandardMintableToken,0,timestamp dependency
2755,MintableTokenFundraiser,0,timestamp dependency
2755,RefundSafe,0,timestamp dependency
2755,FinalizableFundraiser,0,timestamp dependency
2755,RefundableFundraiser,0,timestamp dependency
2755,BurnableToken,0,timestamp dependency
2755,PausableToken,0,timestamp dependency
2755,HOWToken,0,timestamp dependency
2755,HOWTokenSafe,0,timestamp dependency
2755,HOWTokenFundraiser,0,timestamp dependency
2761,F3Devents,0,timestamp dependency
2761,modularLong,0,timestamp dependency
2761,EthKillerLong,0,timestamp dependency
2772,Random,0,timestamp dependency
2777,Ownable,0,timestamp dependency
2777,F3Devents,0,timestamp dependency
2777,modularLong,0,timestamp dependency
2777,FoMo3DWorld,0,timestamp dependency
2797,ERC20Basic,0,timestamp dependency
2797,BasicToken,0,timestamp dependency
2797,ERC20,0,timestamp dependency
2797,OwnableToken,0,timestamp dependency
2797,BurnableToken,0,timestamp dependency
2797,StandardToken,0,timestamp dependency
2797,gsToken,0,timestamp dependency
2797,Crowdsale,0,timestamp dependency
2797,CappedCrowdsale,0,timestamp dependency
2797,TimedCrowdsale,1,timestamp dependency
2797,Ownable,0,timestamp dependency
2797,FinalizableCrowdsale,0,timestamp dependency
2797,RefundVault,0,timestamp dependency
2797,RefundableCrowdsale,0,timestamp dependency
2797,gsCrowdsale,0,timestamp dependency
2814,EthertoteToken,0,timestamp dependency
2814,TokenSale,1,timestamp dependency
2826,Dragon,0,timestamp dependency
2830,DragonDivs,0,timestamp dependency
2839,RP1events,0,timestamp dependency
2839,modularLong,0,timestamp dependency
2839,ReadyPlayerONE,0,timestamp dependency
2858,Lucky8d,0,timestamp dependency
2861,ERC20Basic,0,timestamp dependency
2861,Ownable,0,timestamp dependency
2861,StandardToken,0,timestamp dependency
2861,BurnableToken,0,timestamp dependency
2861,MintableToken,0,timestamp dependency
2861,Pausable,0,timestamp dependency
2861,TokenVesting,1,timestamp dependency
2861,PausableToken,0,timestamp dependency
2861,DELCToken,0,timestamp dependency
2948,Ownable,0,timestamp dependency
2948,BGAudit,1,timestamp dependency
3050,BlankContract,0,timestamp dependency
3050,AirDropWinner,0,timestamp dependency
3050,PonziPwn,0,timestamp dependency
3083,Medban,0,timestamp dependency
3100,Ownable,0,timestamp dependency
3100,AccessAdmin,0,timestamp dependency
3100,CardsRaffle,1,timestamp dependency
3122,Bigba,0,timestamp dependency
3125,NekoToken,1,timestamp dependency
3152,Lilbank,0,timestamp dependency
3185,StarmidTransfer,0,timestamp dependency
3185,StarmidFreezeTokens,1,timestamp dependency
3190,wordbot,0,timestamp dependency
3199,Owned,0,timestamp dependency
3199,LOLevents,0,timestamp dependency
3199,modularLong,0,timestamp dependency
3199,LOLlong,0,timestamp dependency
3233,NokuPricingPlan,0,timestamp dependency
3233,Ownable,0,timestamp dependency
3233,Pausable,0,timestamp dependency
3233,ERC20Basic,0,timestamp dependency
3233,ERC20,0,timestamp dependency
3233,BurnableERC20,0,timestamp dependency
3233,NokuTokenBurner,0,timestamp dependency
3240,NokuPricingPlan,0,timestamp dependency
3240,Ownable,0,timestamp dependency
3240,NokuCustomToken,0,timestamp dependency
3240,Pausable,0,timestamp dependency
3240,ERC20Basic,0,timestamp dependency
3240,ERC20,0,timestamp dependency
3240,BurnableERC20,0,timestamp dependency
3240,NokuTokenBurner,0,timestamp dependency
3240,BasicToken,0,timestamp dependency
3240,BurnableToken,0,timestamp dependency
3240,DetailedERC20,0,timestamp dependency
3240,StandardToken,0,timestamp dependency
3240,MintableToken,0,timestamp dependency
3240,TokenTimelock,1,timestamp dependency
3240,TokenVesting,1,timestamp dependency
3240, ERC20,0,timestamp dependency
3240,NokuCustomERC20 ,0,timestamp dependency
3240,NokuCustomService,0,timestamp dependency
3240,NokuCustomERC20Service,0,timestamp dependency
3271,hodlEthereum,1,timestamp dependency
6053,TimedCrowdsale,1,timestamp dependency
6053,FinalizableCrowdsale,0,timestamp dependency
6053,StageCrowdsale,0,timestamp dependency
6053,MultiStageCrowdsale,0,timestamp dependency
6054,Ownable,0,timestamp dependency
6054,ERC20Basic,0,timestamp dependency
6054,ERC20,0,timestamp dependency
6054,Crowdsale,0,timestamp dependency
6054,TimedCrowdsale,1,timestamp dependency
6054,FinalizableCrowdsale,0,timestamp dependency
6054,StageCrowdsale,0,timestamp dependency
6054,CappedCrowdsale,0,timestamp dependency
6054,CappedStageCrowdsale,0,timestamp dependency
6054,LimitedMinPurchaseCrowdsale,0,timestamp dependency
6054,TokensSoldCountingCrowdsale,0,timestamp dependency
6054,ManualTokenDistributionCrowdsale,0,timestamp dependency
6054,Pausable,0,timestamp dependency
6054,PausableCrowdsale,0,timestamp dependency
6054,RefundVault,0,timestamp dependency
6054,RefundableCrowdsale,0,timestamp dependency
6054,RefundableStageCrowdsale,0,timestamp dependency
6054,RBAC,0,timestamp dependency
6054,Whitelist,0,timestamp dependency
6054,WhitelistedCrowdsale,0,timestamp dependency
6054,BasicToken,0,timestamp dependency
6054,BurnableToken,0,timestamp dependency
6054,BlockFollowMainStageCrowdsale,0,timestamp dependency
6059,Ownable,0,timestamp dependency
6059,ERC20Basic,0,timestamp dependency
6059,ERC20,0,timestamp dependency
6059,Crowdsale,0,timestamp dependency
6059,TimedCrowdsale,1,timestamp dependency
6059,FinalizableCrowdsale,0,timestamp dependency
6059,StageCrowdsale,0,timestamp dependency
6059,CappedCrowdsale,0,timestamp dependency
6059,CappedStageCrowdsale,0,timestamp dependency
6059,TokensSoldCountingCrowdsale,0,timestamp dependency
6059,ManualTokenDistributionCrowdsale,0,timestamp dependency
6059,Pausable,0,timestamp dependency
6059,PausableCrowdsale,0,timestamp dependency
6059,TokensRollStageCrowdsale,0,timestamp dependency
6059,RBAC,0,timestamp dependency
6059,Whitelist,0,timestamp dependency
6059,WhitelistedCrowdsale,0,timestamp dependency
6059,RefundVault,0,timestamp dependency
6059,RefundableCrowdsale,0,timestamp dependency
6059,BlockFollowPreSaleStageCrowdsale,0,timestamp dependency
6065,ERC20Basic,0,timestamp dependency
6065,ERC20,0,timestamp dependency
6065,TokenTimelock,1,timestamp dependency
6065,Ownable,0,timestamp dependency
6065,TokenVesting,1,timestamp dependency
6065,InitialTokenDistribution,0,timestamp dependency
6065,DetailedERC20,0,timestamp dependency
6065,BlockFollowInitialTokenDistribution,0,timestamp dependency
6149,Ownable,0,timestamp dependency
6149,AccessAdmin,0,timestamp dependency
6149,JadeCoin,1,timestamp dependency
6149,CardsBase,0,timestamp dependency
6199,BulletinBoard,0,timestamp dependency
6207,IAugur,0,timestamp dependency
6207,IControlled,0,timestamp dependency
6207,Controlled,0,timestamp dependency
6207,IController,0,timestamp dependency
6207,IOwnable,0,timestamp dependency
6207,ITyped,0,timestamp dependency
6207,ITime,0,timestamp dependency
6207,Time,0,timestamp dependency
6207,Initializable,0,timestamp dependency
6207,ERC20Basic,0,timestamp dependency
6207,ERC20,0,timestamp dependency
6207,IFeeToken,0,timestamp dependency
6207,IFeeWindow,0,timestamp dependency
6207,IMailbox,0,timestamp dependency
6207,IMarket,0,timestamp dependency
6207,IReportingParticipant,0,timestamp dependency
6207,IReputationToken,0,timestamp dependency
6207,IUniverse,0,timestamp dependency
6207,ICash,0,timestamp dependency
6207,IOrders,0,timestamp dependency
6207,IShareToken,0,timestamp dependency
6220,MINEA,0,timestamp dependency
6251,EtherCityConfig,0,timestamp dependency
6251,EtherCityRank,0,timestamp dependency
6251,EtherCityData,0,timestamp dependency
6251,EtherCity,0,timestamp dependency
6253,EtherCityConfig,0,timestamp dependency
6253,EtherCityRank,0,timestamp dependency
6253,EtherCityData,0,timestamp dependency
6253,EtherCity,0,timestamp dependency
6255,EtherCityConfig,0,timestamp dependency
6255,EtherCityRank,0,timestamp dependency
6255,EtherCityData,0,timestamp dependency
6255,EtherCity,0,timestamp dependency
6257,EtherCityConfig,0,timestamp dependency
6257,EtherCityRank,0,timestamp dependency
6257,EtherCityData,0,timestamp dependency
6257,EtherCity,0,timestamp dependency
6272,Ownable,0,timestamp dependency
6272,AccessAdmin,0,timestamp dependency
6272,JadeCoin,1,timestamp dependency
6272,CardsBase,0,timestamp dependency
6297,Ownable,0,timestamp dependency
6297,ERC20Basic,0,timestamp dependency
6297,BasicToken,0,timestamp dependency
6297,ERC20,0,timestamp dependency
6297,StandardToken,0,timestamp dependency
6297,MintableToken,0,timestamp dependency
6297,JcnxxxToken,0,timestamp dependency
6297,Crowdsale,0,timestamp dependency
6297,TimedCrowdsale,1,timestamp dependency
6297,FinalizableCrowdsale,0,timestamp dependency
6297,MintedCrowdsale,0,timestamp dependency
6297,CappedCrowdsale,0,timestamp dependency
6297,JcnxxxCrowdsale,1,timestamp dependency
6322,Ownable,0,timestamp dependency
6322,ERC20Basic,0,timestamp dependency
6322,ERC20,0,timestamp dependency
6322,TokenTimelock,1,timestamp dependency
6322,TstTokenTimelock,0,timestamp dependency
6348,ERC20Basic,0,timestamp dependency
6348,BasicToken,0,timestamp dependency
6348,ERC20,0,timestamp dependency
6348,StandardToken,0,timestamp dependency
6348,Ownable,0,timestamp dependency
6348,Pausable,0,timestamp dependency
6348,PausableToken,0,timestamp dependency
6348,BurnableToken,0,timestamp dependency
6348,LetsbetToken,0,timestamp dependency
6348,DutchAuction,1,timestamp dependency
6369,DSAuthority,0,timestamp dependency
6369,DSAuthEvents,0,timestamp dependency
6369,DSAuth,0,timestamp dependency
6369,DSNote,0,timestamp dependency
6369,DSStop,0,timestamp dependency
6369,DSMath,0,timestamp dependency
6369,ERC20,0,timestamp dependency
6369,Coin,0,timestamp dependency
6369,FreezerAuthority,0,timestamp dependency
6369,LemoCoin,1,timestamp dependency
6370,Ownable,0,timestamp dependency
6370,ERC20Basic,0,timestamp dependency
6370,ERC20,0,timestamp dependency
6370,BasicToken,0,timestamp dependency
6370,AMTTimelockedToken,1,timestamp dependency
6396,ERC20Basic,0,timestamp dependency
6396,BasicToken,0,timestamp dependency
6396,ERC20,0,timestamp dependency
6396,StandardToken,0,timestamp dependency
6396,Ownable,0,timestamp dependency
6396,SparksterToken,1,timestamp dependency
6403,ERC20Basic,0,timestamp dependency
6403,SafeMath,0,timestamp dependency
6403,Ownable,0,timestamp dependency
6403,Haltable,0,timestamp dependency
6403,PricingStrategy,0,timestamp dependency
6403,FinalizeAgent,0,timestamp dependency
6403,ERC20,0,timestamp dependency
6403,FractionalERC20Ext,0,timestamp dependency
6403,CrowdsaleExt,1,timestamp dependency
6403,StandardToken,0,timestamp dependency
6403,UpgradeAgent,0,timestamp dependency
6403,UpgradeableToken,0,timestamp dependency
6403,ReleasableToken,0,timestamp dependency
6403,MintableTokenExt,0,timestamp dependency
6403,CrowdsaleTokenExt,0,timestamp dependency
6403,ReservedTokensFinalizeAgent,0,timestamp dependency
6404,SafeMath,0,timestamp dependency
6404,ERC20Basic,0,timestamp dependency
6404,Ownable,0,timestamp dependency
6404,Haltable,0,timestamp dependency
6404,PricingStrategy,0,timestamp dependency
6404,FinalizeAgent,0,timestamp dependency
6404,ERC20,0,timestamp dependency
6404,FractionalERC20Ext,0,timestamp dependency
6404,CrowdsaleExt,1,timestamp dependency
6404,StandardToken,0,timestamp dependency
6404,MintableTokenExt,0,timestamp dependency
6404,MintedTokenCappedCrowdsaleExt,0,timestamp dependency
6454,ERC20Interface,0,timestamp dependency
6454,DBC,0,timestamp dependency
6454,Owned,0,timestamp dependency
6454,CompetitionCompliance,0,timestamp dependency
6454,DSAuthority,0,timestamp dependency
6454,DSAuthEvents,0,timestamp dependency
6454,DSAuth,0,timestamp dependency
6454,DSExec,0,timestamp dependency
6454,DSMath,0,timestamp dependency
6454,Asset,0,timestamp dependency
6454,Shares,0,timestamp dependency
6454,Fund,1,timestamp dependency
6454,Competition,1,timestamp dependency
6454,DSNote,0,timestamp dependency
6454,DSGroup,0,timestamp dependency
6454,DSGroupFactory,0,timestamp dependency
6454,DSThing,0,timestamp dependency
6454,CanonicalRegistrar,0,timestamp dependency
6454,SimplePriceFeed,0,timestamp dependency
6454,StakingPriceFeed,0,timestamp dependency
6454,OperatorStaking,0,timestamp dependency
6454,CanonicalPriceFeed,1,timestamp dependency
6454,Version,0,timestamp dependency
6472,ERC20Basic,0,timestamp dependency
6472,BasicToken,0,timestamp dependency
6472,ERC20,0,timestamp dependency
6472,StandardToken,0,timestamp dependency
6472,Ownable,0,timestamp dependency
6472,SparksterToken,1,timestamp dependency
6534,Ownable,0,timestamp dependency
6534,XTVNetworkGuard,0,timestamp dependency
6534,ERC20,0,timestamp dependency
6534,ERC20Token,0,timestamp dependency
6534,XTVToken,1,timestamp dependency
6578,Ownable,0,timestamp dependency
6578,ERC20Basic,0,timestamp dependency
6578,ERC20,0,timestamp dependency
6578,BasicToken,0,timestamp dependency
6578,StandardToken,0,timestamp dependency
6578,CryptualProjectToken,1,timestamp dependency
6586,Ownable,0,timestamp dependency
6586,ERC20Basic,0,timestamp dependency
6586,ERC20,0,timestamp dependency
6586,TokenTimelockController,1,timestamp dependency
6592,ERC20Basic,0,timestamp dependency
6592,BasicToken,0,timestamp dependency
6592,ERC20,0,timestamp dependency
6592,StandardToken,0,timestamp dependency
6592,Ownable,0,timestamp dependency
6592,SparksterToken,1,timestamp dependency
6596,ERC20Basic,0,timestamp dependency
6596,BasicToken,0,timestamp dependency
6596,ERC20,0,timestamp dependency
6596,StandardToken,0,timestamp dependency
6596,Ownable,0,timestamp dependency
6596,MintableToken,0,timestamp dependency
6596,FreezableToken,1,timestamp dependency
6596,ERC223Receiver,0,timestamp dependency
6596,ERC223Basic,0,timestamp dependency
6596,SuccessfulERC223Receiver,0,timestamp dependency
6596,FailingERC223Receiver,0,timestamp dependency
6596,ERC223ReceiverWithoutTokenFallback,0,timestamp dependency
6596,BurnableToken,0,timestamp dependency
6596,Pausable,0,timestamp dependency
6596,FreezableMintableToken,0,timestamp dependency
6596,Consts,0,timestamp dependency
6596,ERC223Token,0,timestamp dependency
6596,MainToken,0,timestamp dependency
6604,Ownable,0,timestamp dependency
6604,ERC20Basic,0,timestamp dependency
6604,ERC20,0,timestamp dependency
6604,Crowdsale,0,timestamp dependency
6604,TimedCrowdsale,1,timestamp dependency
6604,FinalizableCrowdsale,0,timestamp dependency
6604,BasicToken,0,timestamp dependency
6604,StandardToken,0,timestamp dependency
6604,MintableToken,0,timestamp dependency
6604,MintedCrowdsale,0,timestamp dependency
6604,PostKYCCrowdsale,0,timestamp dependency
6604,BurnableToken,0,timestamp dependency
6604,CappedToken,0,timestamp dependency
6604,Pausable,0,timestamp dependency
6604,PausableToken,0,timestamp dependency
6604,VreoToken,0,timestamp dependency
6604,VreoTokenSale,1,timestamp dependency
6663,Ownable,0,timestamp dependency
6663,ERC20Basic,0,timestamp dependency
6663,ERC20,0,timestamp dependency
6663,TokenTimelockController,1,timestamp dependency
6743,FinalizeAgent,0,timestamp dependency
6743,PricingStrategy,0,timestamp dependency
6743,Ownable,0,timestamp dependency
6743,Recoverable,0,timestamp dependency
6743,Haltable,0,timestamp dependency
6743,Whitelist,0,timestamp dependency
6743,ERC20Basic,0,timestamp dependency
6743,ERC20,0,timestamp dependency
6743,FractionalERC20,0,timestamp dependency
6743,BasicToken,0,timestamp dependency
6743,StandardToken,0,timestamp dependency
6743,CrowdsaleBase,0,timestamp dependency
6743,MintedTokenCappedCrowdsale,0,timestamp dependency
6743,ERC827,0,timestamp dependency
6743,ERC827Token,0,timestamp dependency
6743,StandardTokenExt,0,timestamp dependency
6743,MintableToken,0,timestamp dependency
6747,FinalizeAgent,0,timestamp dependency
6747,PricingStrategy,0,timestamp dependency
6747,Ownable,0,timestamp dependency
6747,Recoverable,0,timestamp dependency
6747,Haltable,0,timestamp dependency
6747,Whitelist,0,timestamp dependency
6747,ERC20Basic,0,timestamp dependency
6747,ERC20,0,timestamp dependency
6747,FractionalERC20,0,timestamp dependency
6747,BasicToken,0,timestamp dependency
6747,StandardToken,0,timestamp dependency
6747,CrowdsaleBase,1,timestamp dependency
6747,Crowdsale,0,timestamp dependency
6747,MintedTokenCappedCrowdsale,0,timestamp dependency
6747,ERC827,0,timestamp dependency
6747,ERC827Token,0,timestamp dependency
6747,StandardTokenExt,0,timestamp dependency
6747,MintableToken,0,timestamp dependency
6753,FinalizeAgent,0,timestamp dependency
6753,PricingStrategy,0,timestamp dependency
6753,Ownable,0,timestamp dependency
6753,Recoverable,0,timestamp dependency
6753,Haltable,0,timestamp dependency
6753,Whitelist,0,timestamp dependency
6753,ERC20Basic,0,timestamp dependency
6753,ERC20,0,timestamp dependency
6753,FractionalERC20,0,timestamp dependency
6753,BasicToken,0,timestamp dependency
6753,StandardToken,0,timestamp dependency
6753,CrowdsaleBase,1,timestamp dependency
6753,Crowdsale,0,timestamp dependency
6753,MintedTokenCappedCrowdsale,0,timestamp dependency
6753,ERC827,0,timestamp dependency
6753,ERC827Token,0,timestamp dependency
6753,StandardTokenExt,0,timestamp dependency
6753,MintableToken,0,timestamp dependency
6798,FinalizeAgent,0,timestamp dependency
6798,PricingStrategy,0,timestamp dependency
6798,Ownable,0,timestamp dependency
6798,Recoverable,0,timestamp dependency
6798,Haltable,0,timestamp dependency
6798,Whitelist,0,timestamp dependency
6798,ERC20Basic,0,timestamp dependency
6798,ERC20,0,timestamp dependency
6798,FractionalERC20,0,timestamp dependency
6798,BasicToken,0,timestamp dependency
6798,StandardToken,0,timestamp dependency
6798,CrowdsaleBase,1,timestamp dependency
6798,Crowdsale,0,timestamp dependency
6798,MintedTokenCappedCrowdsale,0,timestamp dependency
6798,ERC827,0,timestamp dependency
