dataname,vulnerability,function_name,match
CVE-2018-14003,Integer Overflow,TokenERC20,False
CVE-2018-14003,Integer Overflow,burnFrom,False
CVE-2018-14003,Integer Overflow,burn,False
CVE-2018-14003,Integer Overflow,_transfer,False
CVE-2018-14003,Integer Overflow,batchTransfer,True
CVE-2018-11429,Access Control,transfer,False
CVE-2018-11429,Access Control,transferFrom,False
CVE-2018-11429,Integer Overflow,mint,True
CVE-2018-11429,Access Control,unfreeze,False
CVE-2018-11429,Access Control,approve,False
CVE-2018-13070,Integer Overflow,TokenERC20,False
CVE-2018-13073,Integer Overflow,mintToken,True
CVE-2018-13073,Integer Overflow,sell,False
CVE-2018-13073,Integer Overflow,buy,False
CVE-2018-14715,Integer Overflow,mintPack,False
CVE-2018-14715,Integer Overflow,mintBatch,False
CVE-2018-14715,Integer Overflow,transferFrom,False
CVE-2018-14715,Integer Overflow,mint,False
CVE-2018-14715,Integer Overflow,transfer,False
CVE-2018-12885,Integer Overflow,randMod,False
CVE-2018-12885,Integer Overflow,getChampReward,False
CVE-2018-13084,Integer Overflow,transferFrom,False
CVE-2018-13084,Integer Overflow,buy,False
CVE-2018-13084,Integer Overflow,transfer,False
CVE-2018-13084,Integer Overflow,mintToken,True
CVE-2018-13084,Integer Overflow,sell,False
CVE-2018-13079,Integer Overflow,burn,False
CVE-2018-13079,Integer Overflow,transfer,False
CVE-2018-13079,Integer Overflow,approveAndCall,False
CVE-2018-13079,Integer Overflow,approve,False
CVE-2018-13079,Integer Overflow,transferFrom,False
CVE-2021-3006,Integer Overflow,getProtocolFeeStats,False
CVE-2018-14086,Typo Constructor,MyToken,False
CVE-2018-14086,Access Control,MyToken,False
CVE-2018-14086,Token Devalue,MyToken,False
CVE-2018-14086,Integer Overflow,MyToken,False
CVE-2018-14086,Bad Randomness,MyToken,False
CVE-2018-19833,Integer Overflow,burn,False
CVE-2018-19833,Integer Overflow,transfer,False
CVE-2018-19833,Token Devalue,mintToken,False
CVE-2018-14089,Integer Overflow,transferFrom,False
CVE-2018-14089,Integer Overflow,fallback,False
CVE-2018-14089,Integer Overflow,transfer,False
CVE-2018-14089,Integer Overflow,balanceOf,False
CVE-2018-14089,Integer Overflow,burn,False
CVE-2018-15552,Access Control,getLastTicketTime,False
CVE-2018-15552,Access Control,withdraw,False
CVE-2018-15552,Typo Constructor,LottoCount,False
CVE-2018-15552,Access Control,getBalance,False
CVE-2018-15552,Integer Overflow,AddTicket,False
CVE-2019-15078,Access Control,getTokens,False
CVE-2019-15078,Typo Constructor,getTokens,False
CVE-2019-15078,Integer Overflow,getTokens,False
CVE-2019-15078,Integer Overflow,distr,False
CVE-2018-13085,Integer Overflow,mintToken,True
CVE-2018-13085,Integer Overflow,sell,False
CVE-2018-13085,Integer Overflow,buy,False
CVE-2018-13085,Integer Overflow,_transfer,False
CVE-2018-13085,Integer Overflow,balanceOf,False
CVE-2018-14063,Integer Overflow,transfer,False
CVE-2018-14063,Integer Overflow,approve,False
CVE-2018-14063,Integer Overflow,totalSupply,False
CVE-2018-14063,Integer Overflow,increaseApproval,True
CVE-2018-14063,Integer Overflow,transferFrom,False
CVE-2018-13087,Integer Overflow,TokenERC20,False
CVE-2018-12070,Integer Overflow,buy,False
CVE-2018-12070,Integer Overflow,SECToken,False
CVE-2018-12070,Integer Overflow,_transfer,False
CVE-2018-12070,Integer Overflow,mintToken,False
CVE-2018-12070,Integer Overflow,sell,True
CVE-2018-13698,Access Control,transferFrom,False
CVE-2018-13698,Access Control,allowance,False
CVE-2018-13698,Access Control,balanceOf,False
CVE-2018-13698,Access Control,approve,False
CVE-2018-13698,Integer Overflow,mintTokens,True
CVE-2018-10706,Integer Overflow,changeAirdropQty,False
CVE-2018-10706,Integer Overflow,changeAirdropTotalQty,False
CVE-2018-10706,Integer Overflow,generateTokens,False
CVE-2018-10706,Integer Overflow,changeTokensPerEther,False
CVE-2018-10706,Integer Overflow,destroyTokens,False
CVE-2019-15079,Integer Overflow,burn,False
CVE-2019-15079,Integer Overflow,transfer,False
CVE-2019-15079,Integer Overflow,EAI_TokenERC20,False
CVE-2019-15079,Integer Overflow,_transfer,False
CVE-2019-15079,Integer Overflow,transferFrom,False
CVE-2018-14087,Wrong Logic,balanceOf,False
CVE-2018-14087,Access Control,balanceOf,False
CVE-2018-14087,Typo Constructor,balanceOf,False
CVE-2018-14087,Integer Overflow,balanceOf,False
CVE-2018-14087,Bad Randomness,balanceOf,False
CVE-2018-12067,Integer Overflow,buy,False
CVE-2018-12067,Integer Overflow,transfer,False
CVE-2018-12067,Integer Overflow,mintToken,False
CVE-2018-12067,Integer Overflow,transferFrom,False
CVE-2018-12067,Integer Overflow,sell,True
CVE-2021-34272,Integer Overflow,TokenERC20,False
CVE-2018-13703,Access Control,getTokenPrice,False
CVE-2018-13703,Integer Overflow,sellOffline,False
CVE-2018-13703,Access Control,getEthRate,False
CVE-2018-13703,Access Control,setEthRate,False
CVE-2018-13703,Access Control,getConBal,False
CVE-2018-13069,Integer Overflow,TokenERC20,False
CVE-2021-3004,Integer Overflow,stake,False
CVE-2021-3004,Integer Overflow,rewardPerToken,False
CVE-2021-3004,Integer Overflow,notifyFeeAmount,False
CVE-2021-3004,Integer Overflow,unstake,False
CVE-2021-3004,Integer Overflow,earned,False
CVE-2020-35962,Integer Overflow,getProtocolFeeStats,False
CVE-2018-13127,Access Control,transfer,False
CVE-2018-13127,Access Control,transferFrom,False
CVE-2018-13127,Access Control,unfreeze,False
CVE-2018-13127,Integer Overflow,mint,True
CVE-2018-13127,Access Control,approve,False
CVE-2018-13041,Integer Overflow,mint,True
CVE-2018-13041,Typo Constructor,mint,False
CVE-2018-13041,Token Devalue,mint,False
CVE-2018-13041,Access Control,mint,False
CVE-2018-13041,Bad Randomness,mint,False
CVE-2018-13091,Integer Overflow,_transfer,False
CVE-2018-13091,Integer Overflow,burn,False
CVE-2018-13091,Integer Overflow,mintToken,True
CVE-2018-13091,Integer Overflow,distributeToken,False
CVE-2018-13091,Integer Overflow,burnFrom,False
CVE-2018-12068,Integer Overflow,mintToken,False
CVE-2018-12068,Integer Overflow,buy,False
CVE-2018-12068,Integer Overflow,transferFrom,False
CVE-2018-12068,Integer Overflow,transfer,False
CVE-2018-12068,Integer Overflow,sell,True
CVE-2018-14084,Access Control,selfdestructs,False
CVE-2018-14084,Access Control,newinitialSupply,False
CVE-2018-14084,Integer Overflow,newinitialSupply,False
CVE-2018-14084,Access Control,getEth,False
CVE-2018-13327,Integer Overflow,transferFrom,False
CVE-2018-13327,Integer Overflow,balanceOf,False
CVE-2018-13327,Integer Overflow,approve,False
CVE-2018-13327,Integer Overflow,totalSupply,False
CVE-2018-13327,Integer Overflow,transfer,False
CVE-2018-11411,Access Control,getEthBalance,False
CVE-2018-11411,Integer Overflow,distributeFUD,False
CVE-2018-11411,Typo Constructor,distributeFUD,False
CVE-2018-11411,Access Control,balanceOf,False
CVE-2018-17987,Access Control,claimTile,False
CVE-2018-17987,Token Devalue,claimTile,False
CVE-2018-17987,Integer Overflow,claimTile,False
CVE-2018-17987,Bad Randomness,claimTile,False
CVE-2018-17987,Wrong Logic,claimTile,False
CVE-2018-12511,Integer Overflow,transferFrom,False
CVE-2018-12511,Integer Overflow,mintToken,True
CVE-2018-12511,Integer Overflow,transfer,False
CVE-2018-12511,Integer Overflow,buy,False
CVE-2018-12511,Integer Overflow,sell,False
CVE-2018-14005,Integer Overflow,approve,False
CVE-2018-14005,Integer Overflow,decreaseApproval,False
CVE-2018-14005,Integer Overflow,increaseApproval,False
CVE-2018-14005,Integer Overflow,transfer,False
CVE-2018-14005,Integer Overflow,transferFrom,False
CVE-2018-11335,Access Control,transfer,False
CVE-2018-11335,Access Control,unfreeze,False
CVE-2018-11335,Integer Overflow,mint,True
CVE-2018-11335,Access Control,transferFrom,False
CVE-2018-11335,Access Control,approve,False
CVE-2018-13089,Integer Overflow,buy,False
CVE-2018-13089,Integer Overflow,mintToken,True
CVE-2018-13089,Integer Overflow,sell,False
CVE-2018-13089,Integer Overflow,_transfer,False
CVE-2018-13089,Integer Overflow,TokenERC20,False
CVE-2018-13086,Wrong Logic,sell,False
CVE-2018-13086,Integer Overflow,buy,False
CVE-2018-13086,Wrong Logic,buy,False
CVE-2018-13086,Access Control,buy,False
CVE-2018-13086,Integer Overflow,sell,False
CVE-2018-13228,Integer Overflow,transfer,False
CVE-2018-13228,Integer Overflow,buy,False
CVE-2018-13228,Integer Overflow,transferFrom,False
CVE-2018-13228,Integer Overflow,mintToken,False
CVE-2018-13228,Integer Overflow,sell,True
CVE-2018-12080,Integer Overflow,_transfer,False
CVE-2018-12080,Integer Overflow,mintToken,False
CVE-2018-12080,Integer Overflow,INTToken,False
CVE-2018-12080,Integer Overflow,burnFrom,False
CVE-2018-12080,Integer Overflow,burn,False
CVE-2018-17882,Integer Overflow,safeSub,False
CVE-2018-17882,Integer Overflow,safeAdd,False
CVE-2018-17882,Integer Overflow,transfer,False
CVE-2018-17882,Integer Overflow,transferFrom,False
CVE-2018-17882,Integer Overflow,batchTransfer,True
CVE-2018-13126,Integer Overflow,mint,True
CVE-2018-13126,Integer Overflow,buyTokens,False
CVE-2018-12084,Access Control,freezeAccount,False
CVE-2018-12084,Integer Overflow,transferFrom,False
CVE-2018-12084,Integer Overflow,mintToken,False
CVE-2018-12084,Access Control,mintToken,False
CVE-2018-12084,Integer Overflow,transfer,False
CVE-2018-13074,Integer Overflow,TokenERC20,False
CVE-2020-17752,Typo Constructor,GetNow,False
CVE-2020-17752,Integer Overflow,GetStats,False
CVE-2020-17752,Integer Overflow,GetMaxStageEthAmount,False
CVE-2018-13078,Typo Constructor,constructor,False
CVE-2018-13078,Access Control,freezeAccount,False
CVE-2018-13078,Integer Overflow,transferFrom,False
CVE-2018-13078,Integer Overflow,mintToken,True
CVE-2018-13078,Integer Overflow,transfer,False
CVE-2019-15080,Integer Overflow,approve,False
CVE-2019-15080,Integer Overflow,transferFrom,False
CVE-2019-15080,Integer Overflow,transfer,False
CVE-2019-15080,Typo Constructor,MorphToken,False
CVE-2019-15080,Integer Overflow,burn,False
CVE-2018-13778,Integer Overflow,mintToken,True
CVE-2018-13778,Integer Overflow,_transfer,False
CVE-2018-13778,Integer Overflow,TokenERC20,False
CVE-2018-13082,Integer Overflow,transferFrom,False
CVE-2018-13082,Integer Overflow,burnFrom,False
CVE-2018-13082,Integer Overflow,burn,False
CVE-2018-13082,Integer Overflow,transfer,False
CVE-2018-13082,Integer Overflow,buy,False
CVE-2018-12025,Integer Overflow,transferFrom,False
CVE-2018-12025,Integer Overflow,transfer,False
CVE-2018-12025,Integer Overflow,balanceOf,False
CVE-2018-12025,Integer Overflow,approve,False
CVE-2018-12025,Integer Overflow,mintToken,False
CVE-2018-12081,Integer Overflow,buy,False
CVE-2018-12081,Integer Overflow,mintToken,False
CVE-2018-12081,Integer Overflow,sell,False
CVE-2018-12081,Integer Overflow,transferFrom,False
CVE-2018-12081,Integer Overflow,transfer,False
CVE-2018-17111,Typo Constructor,Coinlancer,False
CVE-2018-17111,Token Devalue,Coinlancer,False
CVE-2018-13695,Integer Overflow,mint,True
CVE-2018-13695,Integer Overflow,unnamed,False
CVE-2018-11687,Access Control,approve,False
CVE-2018-11687,Integer Overflow,totalSupply,False
CVE-2018-11687,Integer Overflow,transfer,False
CVE-2018-11687,Integer Overflow,transferFrom,False
CVE-2018-11687,Access Control,distributeBTR,False
CVE-2018-11239,Integer Overflow,transferFrom,False
CVE-2018-11239,Integer Overflow,transfer,False
CVE-2018-11239,Integer Overflow,burn,False
CVE-2018-11239,Integer Overflow,_transfer,True
CVE-2018-11239,Integer Overflow,approve,False
CVE-2018-13202,Integer Overflow,transferFrom,False
CVE-2018-13202,Integer Overflow,sell,True
CVE-2018-13202,Integer Overflow,transfer,False
CVE-2018-13202,Integer Overflow,mintToken,False
CVE-2018-13202,Integer Overflow,buy,False
CVE-2018-13077,Access Control,mintToken,False
CVE-2018-13077,Integer Overflow,buy,False
CVE-2018-13077,Access Control,freezeAccount,False
CVE-2018-13077,Access Control,setPrices,False
CVE-2018-13077,Integer Overflow,sell,False
CVE-2021-34270,Access Control,setPrices,False
CVE-2021-34270,Access Control,mine,False
CVE-2021-34270,Access Control,mintToken,False
CVE-2021-34270,Integer Overflow,sell,False
CVE-2021-34270,Integer Overflow,buy,False
CVE-2018-12959,Integer Overflow,approve,False
CVE-2018-12959,Integer Overflow,totalSupply,False
CVE-2018-12959,Integer Overflow,transferFrom,False
CVE-2018-12959,Integer Overflow,transfer,False
CVE-2018-12959,Integer Overflow,balanceOf,False
CVE-2018-13493,Integer Overflow,TokenERC20,False
CVE-2018-13068,Integer Overflow,transfer,False
CVE-2018-13068,Integer Overflow,transferFrom,False
CVE-2018-13068,Integer Overflow,burnFrom,False
CVE-2018-13068,Integer Overflow,burn,False
CVE-2018-13068,Integer Overflow,mintToken,True
CVE-2018-11446,Integer Overflow,buy,True
CVE-2018-11446,Integer Overflow,setMinBalance,False
CVE-2018-11446,Integer Overflow,setPrices,False
CVE-2018-11446,Integer Overflow,increaseTotalSupply,False
CVE-2018-11446,Integer Overflow,sell,False
CVE-2018-19832,Typo Constructor,getTokens,False
CVE-2018-19832,Access Control,getTokens,False
CVE-2018-19832,Integer Overflow,distr,False
CVE-2018-19832,Integer Overflow,getTokens,False
CVE-2018-13083,Integer Overflow,transferFrom,False
CVE-2018-13083,Integer Overflow,transfer,False
CVE-2018-13083,Integer Overflow,_transfer,False
CVE-2018-13083,Integer Overflow,TokenERC20,False
CVE-2018-13090,Integer Overflow,TokenERC20,False
CVE-2018-13220,Integer Overflow,transfer,False
CVE-2018-13220,Integer Overflow,transferFrom,False
CVE-2018-13220,Integer Overflow,mintToken,False
CVE-2018-13220,Integer Overflow,sell,True
CVE-2018-13220,Integer Overflow,buy,False
CVE-2018-12063,Integer Overflow,sell,True
CVE-2018-12063,Integer Overflow,_transfer,False
CVE-2018-12063,Integer Overflow,mintToken,False
CVE-2018-12063,Integer Overflow,INTToken,False
CVE-2018-12063,Integer Overflow,buy,False
CVE-2018-13230,Integer Overflow,mintToken,False
CVE-2018-13230,Integer Overflow,buy,False
CVE-2018-13230,Integer Overflow,sell,True
CVE-2018-13230,Integer Overflow,transfer,False
CVE-2018-13230,Integer Overflow,transferFrom,False
CVE-2018-13092,Access Control,mintToken,False
CVE-2018-13092,Integer Overflow,_transfer,False
CVE-2018-13092,Integer Overflow,balanceOf,False
CVE-2018-13092,Token Devalue,mintToken,False
CVE-2018-13092,Integer Overflow,mintToken,True
CVE-2018-12082,Integer Overflow,buy,False
CVE-2018-12082,Integer Overflow,mintToken,False
CVE-2018-12082,Integer Overflow,withdrawToOwner,False
CVE-2018-13080,Integer Overflow,transfer,False
CVE-2018-13080,Typo Constructor,constructor,False
CVE-2018-13080,Integer Overflow,mintToken,True
CVE-2018-13080,Access Control,freezeAccount,False
CVE-2018-13080,Integer Overflow,transferFrom,False
CVE-2018-19831,Integer Overflow,Mining24,False
CVE-2018-19831,Integer Overflow,getTokens,False
CVE-2018-13225,Integer Overflow,transfer,False
CVE-2018-13225,Integer Overflow,transferFrom,False
CVE-2018-13225,Integer Overflow,buy,False
CVE-2018-13225,Integer Overflow,mintToken,False
CVE-2018-13225,Integer Overflow,sell,True
CVE-2018-13189,Integer Overflow,foreignBuy,False
CVE-2018-13189,Integer Overflow,mint,True
CVE-2018-13189,Access Control,mint,False
CVE-2018-13189,Integer Overflow,pricePerWei,False
CVE-2018-12079,Integer Overflow,sell,False
CVE-2018-12079,Integer Overflow,buy,False
CVE-2018-12079,Integer Overflow,transferFrom,False
CVE-2018-12079,Integer Overflow,mintToken,False
CVE-2018-12079,Integer Overflow,transfer,False
CVE-2018-19834,Integer Overflow,pullBack,False
CVE-2018-19834,Integer Overflow,mint,False
CVE-2018-19834,Typo Constructor,totalSupply,False
CVE-2018-19834,Token Devalue,totalSupply,False
CVE-2018-19834,Access Control,totalSupply,False
CVE-2018-13783,Integer Overflow,TokenERC20,False
CVE-2018-13221,Bad Randomness,mintToken,False
CVE-2018-13221,Integer Overflow,mintToken,False
CVE-2018-13221,Typo Constructor,mintToken,False
CVE-2018-13221,Access Control,mintToken,False
CVE-2018-13221,Token Devalue,mintToken,False
CVE-2018-12975,Integer Overflow,random,False
CVE-2018-12975,Integer Overflow,addExp,False
CVE-2018-12975,Integer Overflow,levelUp,False
CVE-2018-12975,Integer Overflow,mint,False
CVE-2018-12454,Access Control,getBettingPrice,False
CVE-2018-12454,Access Control,getDeveloperAddress,False
CVE-2018-12454,Integer Overflow,addguess,False
CVE-2018-12454,Access Control,getDeveloperFee,False
CVE-2018-12454,Integer Overflow,setBettingCondition,False
CVE-2018-13782,Integer Overflow,transferFrom,False
CVE-2018-13782,Integer Overflow,buy,False
CVE-2018-13782,Integer Overflow,mintToken,True
CVE-2018-13782,Integer Overflow,sell,False
CVE-2018-13782,Integer Overflow,transfer,False
CVE-2018-13779,Integer Overflow,transfer,False
CVE-2018-13779,Integer Overflow,mintToken,True
CVE-2018-13779,Integer Overflow,buy,False
CVE-2018-13779,Integer Overflow,sell,False
CVE-2018-13779,Integer Overflow,transferFrom,False
CVE-2018-13836,Integer Overflow,transferFrom,False
CVE-2018-13836,Integer Overflow,multiTransfer,True
CVE-2018-13836,Integer Overflow,transfer,False
CVE-2018-13836,Integer Overflow,balanceOf,False
CVE-2018-14576,Access Control,SunContractToken,False
CVE-2018-13625,Integer Overflow,burnlvlToken,False
CVE-2018-13625,Access Control,setlvlNfee,False
CVE-2018-13625,Typo Constructor,setlvlNfee,False
CVE-2018-13625,Integer Overflow,lend,False
CVE-2018-13625,Integer Overflow,repayLoan,False
CVE-2018-19830,Integer Overflow,transferFrom,False
CVE-2018-19830,Typo Constructor,UBSexToken,False
CVE-2018-19830,Integer Overflow,approve,False
CVE-2018-19830,Integer Overflow,UBSexToken,False
CVE-2018-19830,Integer Overflow,transfer,False
CVE-2018-10944,Integer Overflow,__callback,False
CVE-2018-10944,Integer Overflow,stringToUint,False
CVE-2018-14002,Integer Overflow,balanceOf,False
CVE-2018-14002,Integer Overflow,approve,False
CVE-2018-14002,Integer Overflow,allowance,False
CVE-2018-14002,Integer Overflow,transfer,False
CVE-2018-14002,Integer Overflow,transferFrom,False
CVE-2018-13113,Integer Overflow,transferFrom,False
CVE-2018-13113,Integer Overflow,transfer,False
CVE-2018-13113,Integer Overflow,balanceOf,False
CVE-2018-13113,Integer Overflow,approve,False
CVE-2018-13113,Integer Overflow,totalSupply,False
CVE-2018-14004,Integer Overflow,transfer,False
CVE-2018-14004,Integer Overflow,balanceOf,False
CVE-2018-14004,Integer Overflow,allowance,False
CVE-2018-14004,Integer Overflow,approve,False
CVE-2018-14004,Integer Overflow,transferFrom,False
CVE-2018-12078,Integer Overflow,transfer,False
CVE-2018-12078,Integer Overflow,mintToken,False
CVE-2018-12078,Access Control,freezeAccount,False
CVE-2018-12078,Integer Overflow,transferFrom,False
CVE-2018-12078,Typo Constructor,(),False
CVE-2018-13144,Integer Overflow,allowance,False
CVE-2018-13144,Integer Overflow,transferFrom,False
CVE-2018-13144,Integer Overflow,transfer,False
CVE-2018-13144,Integer Overflow,balanceOf,False
CVE-2018-13144,Integer Overflow,approve,False
CVE-2018-13227,Integer Overflow,buy,False
CVE-2018-13227,Integer Overflow,mintToken,False
CVE-2018-13227,Integer Overflow,transferFrom,False
CVE-2018-13227,Integer Overflow,transfer,False
CVE-2018-13227,Integer Overflow,sell,True
