dataname,vulnerability,function_name,match
CVE-2018-13092,Integer Overflow,mintToken,True
CVE-2018-12082,Integer Overflow,mintToken,False
CVE-2018-13080,Integer Overflow,mintToken,True
CVE-2018-19831,Integer Overflow,Mining24,False
CVE-2018-13225,Integer Overflow,mintToken,False
CVE-2018-13189,Integer Overflow,mint,True
CVE-2018-12079,Integer Overflow,mintToken,False
CVE-2018-19834,Integer Overflow,mint,False
CVE-2018-13783,Access Control,mintToken,False
CVE-2018-13221,Access Control,mintToken,False
CVE-2018-12975,Integer Overflow,mint,False
CVE-2018-12454,Integer Overflow,addguess,False
CVE-2018-13782,Integer Overflow,mintToken,True
CVE-2018-13779,Integer Overflow,mintToken,True
CVE-2018-13836,Bad Randomness,airDrop,False
CVE-2018-14576,Integer Overflow,mintTokens,True
CVE-2018-19830,Access Control,UBSexToken,True
CVE-2018-10944,Bad Randomness,__callback,False
CVE-2018-14002,Integer Overflow,approve,False
CVE-2018-13113,Integer Overflow,mintToken,False
CVE-2018-14004,Integer Overflow,mintToken,False
CVE-2018-12078,Integer Overflow,mintToken,False
CVE-2018-13144,Access Control,approveAndCall,False
CVE-2018-13227,Integer Overflow,mintToken,False
