---------------------------------------
Begin Slurm Prolog: Nov-19-2024 00:07:52
Job ID:    953056
User ID:   zyahn3
Account:   scs
Job name:  finetuningNxcode
Partition: coc-gpu
---------------------------------------
/home/hice1/zyahn3/.conda/envs/BugScanner

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards:  50%|█████     | 1/2 [00:22<00:22, 22.35s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:43<00:00, 21.79s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:43<00:00, 21.88s/it]
/home/hice1/zyahn3/.local/lib/python3.9/site-packages/huggingface_hub/utils/_deprecation.py:100: FutureWarning: Deprecated argument(s) used in '__init__': max_seq_length, dataset_kwargs. Will not be supported from version '1.0.0'.

Deprecated positional argument(s) used in SFTTrainer, please use the SFTConfig to set these arguments instead.
  warnings.warn(message, FutureWarning)
You are using an old version of the checkpointing format that is deprecated (We will also silently ignore `gradient_checkpointing_kwargs` in case you passed it).Please update to the new format on your modeling file. To use the new format, you need to completely remove the definition of the method `_set_gradient_checkpointing` in your model.
/home/hice1/zyahn3/.local/lib/python3.9/site-packages/trl/trainer/sft_trainer.py:283: UserWarning: You passed a `max_seq_length` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(
/home/hice1/zyahn3/.local/lib/python3.9/site-packages/trl/trainer/sft_trainer.py:327: UserWarning: You passed a `dataset_kwargs` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(

  0%|          | 0/2780 [00:00<?, ?it/s]/home/hice1/zyahn3/.local/lib/python3.9/site-packages/torch/_dynamo/eval_frame.py:632: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)

  0%|          | 1/2780 [00:02<1:49:16,  2.36s/it]
  0%|          | 2/2780 [00:07<3:04:00,  3.97s/it]
  0%|          | 3/2780 [00:11<3:03:27,  3.96s/it]
  0%|          | 4/2780 [00:14<2:48:30,  3.64s/it]
  0%|          | 5/2780 [00:20<3:31:39,  4.58s/it]
  7%|▋         | 186/2780 [15:37<3:31:51,  4.90s/it]
  7%|▋         | 187/2780 [15:43<3:45:54,  5.23s/it]
  7%|▋         | 188/2780 [15:49<3:58:59,  5.53s/it]
  7%|▋         | 189/2780 [15:53<3:38:35,  5.06s/it]
  7%|▋         | 190/2780 [15:56<3:10:56,  4.42s/it]
                                                    

  7%|▋         | 190/2780 [15:56<3:10:56,  4.42s/it]
  7%|▋         | 191/2780 [16:02<3:34:59,  4.98s/it]
  7%|▋         | 192/2780 [16:09<3:56:43,  5.49s/it]
  7%|▋         | 193/2780 [16:13<3:39:29,  5.09s/it]
  7%|▋         | 194/2780 [16:19<3:54:11,  5.43s/it]
  7%|▋         | 195/2780 [16:25<4:04:17,  5.67s/it]
  7%|▋         | 196/2780 [16:32<4:11:41,  5.84s/it]
  7%|▋         | 197/2780 [16:38<4:16:55,  5.97s/it]
  7%|▋         | 198/2780 [16:44<4:20:04,  6.04s/it]
  7%|▋         | 199/2780 [16:48<3:53:54,  5.44s/it]
  7%|▋         | 200/2780 [16:54<3:59:06,  5.56s/it]
                                                    

  7%|▋         | 200/2780 [16:54<3:59:06,  5.56s/it]
  7%|▋         | 201/2780 [16:59<3:47:43,  5.30s/it]
  7%|▋         | 202/2780 [17:05<3:59:27,  5.57s/it]
  7%|▋         | 203/2780 [17:10<3:53:36,  5.44s/it]
  7%|▋         | 204/2780 [17:13<3:25:24,  4.78s/it]
  7%|▋         | 205/2780 [17:18<3:27:20,  4.83s/it]
  7%|▋         | 206/2780 [17:24<3:45:03,  5.25s/it]
  7%|▋         | 207/2780 [17:31<3:57:38,  5.54s/it]
  7%|▋         | 208/2780 [17:37<4:06:14,  5.74s/it]
  8%|▊         | 209/2780 [17:41<3:43:18,  5.21s/it]
  8%|▊         | 210/2780 [17:47<3:56:18,  5.52s/it]
                                                    

  8%|▊         | 210/2780 [17:47<3:56:18,  5.52s/it]
  8%|▊         | 211/2780 [17:53<4:05:14,  5.73s/it]
  8%|▊         | 212/2780 [18:00<4:11:45,  5.88s/it]
  8%|▊         | 213/2780 [18:02<3:33:06,  4.98s/it]
  8%|▊         | 214/2780 [18:09<3:49:06,  5.36s/it]
  8%|▊         | 215/2780 [18:12<3:27:23,  4.85s/it]
  8%|▊         | 216/2780 [18:18<3:42:16,  5.20s/it]
  8%|▊         | 217/2780 [18:24<3:51:06,  5.41s/it]
  8%|▊         | 218/2780 [18:30<4:01:32,  5.66s/it]
  8%|▊         | 219/2780 [18:37<4:08:37,  5.82s/it]
  8%|▊         | 220/2780 [18:40<3:30:35,  4.94s/it]
                                                    

  8%|▊         | 220/2780 [18:40<3:30:35,  4.94s/it]
  8%|▊         | 221/2780 [18:46<3:47:11,  5.33s/it]
  8%|▊         | 222/2780 [18:50<3:33:23,  5.01s/it]
  8%|▊         | 223/2780 [18:55<3:35:09,  5.05s/it]
  8%|▊         | 224/2780 [19:01<3:47:33,  5.34s/it]
  8%|▊         | 225/2780 [19:07<3:58:42,  5.61s/it]
  8%|▊         | 226/2780 [19:11<3:36:37,  5.09s/it]
  8%|▊         | 227/2780 [19:18<3:50:58,  5.43s/it]
  8%|▊         | 228/2780 [19:23<3:47:13,  5.34s/it]
  8%|▊         | 229/2780 [19:26<3:25:36,  4.84s/it]
  8%|▊         | 230/2780 [19:33<3:43:17,  5.25s/it]
                                                    

  8%|▊         | 230/2780 [19:33<3:43:17,  5.25s/it]
  8%|▊         | 231/2780 [19:39<3:52:06,  5.46s/it]
  8%|▊         | 232/2780 [19:42<3:30:19,  4.95s/it]
  8%|▊         | 233/2780 [19:46<3:18:00,  4.66s/it]
  8%|▊         | 234/2780 [19:50<3:09:17,  4.46s/it]
  8%|▊         | 235/2780 [19:54<3:03:00,  4.31s/it]
  8%|▊         | 236/2780 [19:59<3:13:30,  4.56s/it]
  9%|▊         | 237/2780 [20:03<3:05:38,  4.38s/it]
  9%|▊         | 238/2780 [20:08<3:06:15,  4.40s/it]
  9%|▊         | 239/2780 [20:13<3:15:10,  4.61s/it]
  9%|▊         | 240/2780 [20:17<3:03:44,  4.34s/it]
                                                    

  9%|▊         | 240/2780 [20:17<3:03:44,  4.34s/it]
  9%|▊         | 241/2780 [20:23<3:27:48,  4.91s/it]
  9%|▊         | 242/2780 [20:29<3:38:02,  5.15s/it]
  9%|▊         | 243/2780 [20:35<3:56:14,  5.59s/it]
  9%|▉         | 244/2780 [20:38<3:18:57,  4.71s/it]
  9%|▉         | 245/2780 [20:44<3:38:03,  5.16s/it]
  9%|▉         | 246/2780 [20:50<3:51:13,  5.48s/it]
  9%|▉         | 247/2780 [20:57<4:03:22,  5.76s/it]
  9%|▉         | 248/2780 [20:59<3:23:21,  4.82s/it]
  9%|▉         | 249/2780 [21:04<3:24:51,  4.86s/it]
  9%|▉         | 250/2780 [21:08<3:16:21,  4.66s/it]
                                                    

  9%|▉         | 250/2780 [21:08<3:16:21,  4.66s/it]
  9%|▉         | 251/2780 [21:12<3:07:01,  4.44s/it]
  9%|▉         | 252/2780 [21:16<3:00:56,  4.29s/it]
  9%|▉         | 253/2780 [21:22<3:20:30,  4.76s/it]
  9%|▉         | 254/2780 [21:27<3:25:20,  4.88s/it]
  9%|▉         | 255/2780 [21:32<3:27:03,  4.92s/it]
  9%|▉         | 256/2780 [21:37<3:30:01,  4.99s/it]
  9%|▉         | 257/2780 [21:44<3:45:24,  5.36s/it]
  9%|▉         | 258/2780 [21:48<3:28:53,  4.97s/it]
  9%|▉         | 259/2780 [21:50<2:56:56,  4.21s/it]
  9%|▉         | 260/2780 [21:53<2:40:03,  3.81s/it]
                                                    

  9%|▉         | 260/2780 [21:53<2:40:03,  3.81s/it]
  9%|▉         | 261/2780 [21:59<3:10:20,  4.53s/it]
  9%|▉         | 262/2780 [22:06<3:31:28,  5.04s/it]
  9%|▉         | 263/2780 [22:10<3:18:16,  4.73s/it]
  9%|▉         | 264/2780 [22:16<3:37:08,  5.18s/it]
 10%|▉         | 265/2780 [22:22<3:50:10,  5.49s/it]
 10%|▉         | 266/2780 [22:28<3:59:28,  5.72s/it]
 10%|▉         | 267/2780 [22:31<3:24:31,  4.88s/it]
 10%|▉         | 268/2780 [22:34<3:00:14,  4.31s/it]
 10%|▉         | 269/2780 [22:38<2:59:31,  4.29s/it]
 10%|▉         | 270/2780 [22:43<3:05:54,  4.44s/it]
                                                    

 10%|▉         | 270/2780 [22:43<3:05:54,  4.44s/it]
 10%|▉         | 271/2780 [22:48<3:04:39,  4.42s/it]
 10%|▉         | 272/2780 [22:52<3:08:22,  4.51s/it]
 10%|▉         | 273/2780 [22:58<3:29:45,  5.02s/it]
 10%|▉         | 274/2780 [23:01<3:02:34,  4.37s/it]
 10%|▉         | 275/2780 [23:05<2:57:08,  4.24s/it]
 10%|▉         | 276/2780 [23:09<2:53:33,  4.16s/it]
 10%|▉         | 277/2780 [23:14<2:55:44,  4.21s/it]
 10%|█         | 278/2780 [23:18<2:57:46,  4.26s/it]
 10%|█         | 279/2780 [23:23<3:05:22,  4.45s/it]
 10%|█         | 280/2780 [23:28<3:17:41,  4.74s/it]
                                                    

 10%|█         | 280/2780 [23:28<3:17:41,  4.74s/it]
 10%|█         | 281/2780 [23:33<3:14:00,  4.66s/it]
 10%|█         | 282/2780 [23:38<3:19:49,  4.80s/it]
 10%|█         | 283/2780 [23:40<2:47:20,  4.02s/it]
 10%|█         | 284/2780 [23:45<2:56:10,  4.23s/it]
 10%|█         | 285/2780 [23:51<3:18:04,  4.76s/it]
 10%|█         | 286/2780 [23:57<3:36:09,  5.20s/it]
 10%|█         | 287/2780 [24:03<3:48:46,  5.51s/it]
 10%|█         | 288/2780 [24:08<3:41:30,  5.33s/it]
 10%|█         | 289/2780 [24:14<3:52:26,  5.60s/it]
 10%|█         | 290/2780 [24:19<3:35:17,  5.19s/it]
                                                    

 10%|█         | 290/2780 [24:19<3:35:17,  5.19s/it]
 10%|█         | 291/2780 [24:25<3:48:11,  5.50s/it]
 11%|█         | 292/2780 [24:31<3:57:01,  5.72s/it]
 11%|█         | 293/2780 [24:37<4:03:08,  5.87s/it]
 11%|█         | 294/2780 [24:42<3:53:55,  5.65s/it]
 11%|█         | 295/2780 [24:49<4:03:51,  5.89s/it]
 11%|█         | 296/2780 [24:52<3:32:20,  5.13s/it]
 11%|█         | 297/2780 [24:56<3:14:42,  4.71s/it]
 11%|█         | 298/2780 [25:02<3:33:26,  5.16s/it]
 11%|█         | 299/2780 [25:09<3:48:41,  5.53s/it]
 11%|█         | 300/2780 [25:14<3:50:01,  5.57s/it]
                                                    

 11%|█         | 300/2780 [25:14<3:50:01,  5.57s/it]
 11%|█         | 301/2780 [25:20<3:58:14,  5.77s/it]
 11%|█         | 302/2780 [25:27<4:03:52,  5.90s/it]
 11%|█         | 303/2780 [25:32<4:01:07,  5.84s/it]
 11%|█         | 304/2780 [25:37<3:52:14,  5.63s/it]
 11%|█         | 305/2780 [25:43<3:45:59,  5.48s/it]
 11%|█         | 306/2780 [25:47<3:33:02,  5.17s/it]
 11%|█         | 307/2780 [25:53<3:47:26,  5.52s/it]
 11%|█         | 308/2780 [25:58<3:33:03,  5.17s/it]
 11%|█         | 309/2780 [26:03<3:29:34,  5.09s/it]
 11%|█         | 310/2780 [26:07<3:25:34,  4.99s/it]
                                                    

 11%|█         | 310/2780 [26:07<3:25:34,  4.99s/it]
 11%|█         | 311/2780 [26:10<2:57:59,  4.33s/it]
 11%|█         | 312/2780 [26:16<3:17:01,  4.79s/it]
 11%|█▏        | 313/2780 [26:22<3:34:31,  5.22s/it]
 11%|█▏        | 314/2780 [26:27<3:31:43,  5.15s/it]
 11%|█▏        | 315/2780 [26:33<3:40:09,  5.36s/it]
 11%|█▏        | 316/2780 [26:39<3:50:39,  5.62s/it]
 11%|█▏        | 317/2780 [26:44<3:44:36,  5.47s/it]
 11%|█▏        | 318/2780 [26:50<3:40:19,  5.37s/it]
 11%|█▏        | 319/2780 [26:55<3:37:19,  5.30s/it]
 12%|█▏        | 320/2780 [27:01<3:48:32,  5.57s/it]
                                                    

 12%|█▏        | 320/2780 [27:01<3:48:32,  5.57s/it]
 12%|█▏        | 321/2780 [27:05<3:26:47,  5.05s/it]
