dataname,vulnerability,function_name
2018-13071,Access Control,A264
2018-13071,Typo,A265
2018-13071,Integer Overflow,A266
2018-13071,Wrong Logic,A267
2018-13071,Bad Randomness,A268
2018-13071,Access Control,A269
2018-13071,Typo,A270
2018-13071,Integer Overflow,A271
2018-13071,Wrong Logic,A272
2018-13071,Bad Randomness,A273
2018-13071,Access Control,A274
2018-13071,Typo,A275
2018-13071,Integer Overflow,A276
2018-13071,Wrong Logic,A277
2018-13071,Bad Randomness,A278
2018-13071,Access Control,A279
2018-13071,Typo,A280
2018-13071,Integer Overflow,A281
2018-13071,Wrong Logic,A282
2018-13071,Bad Randomness,A283
2018-13071,Access Control,A284
2018-13071,Typo,A285
2018-13071,Integer Overflow,A286
2018-13071,Wrong Logic,A287
2018-13071,Bad Randomness,A288
2018-13071,Access Control,A289
2018-13071,Typo,A290
2018-13071,Integer Overflow,A291
2018-13071,Wrong Logic,A292
2018-13071,Bad Randomness,A293
2018-13071,Access Control,A294
2018-13071,Typo,A295
2018-13071,Integer Overflow,A296
2018-13071,Wrong Logic,A297
2018-13071,Bad Randomness,A298
2018-13071,Access Control,A299
2018-13071,Typo,A300
2018-13071,Integer Overflow,A301
