dataname,vulnerability,function_name
2018-14086,Integer Overflow,buy
2018-14086,Integer Underflow,sell
2018-14086,Integer Overflow,setMinBalance
2018-14086,Integer Overflow,setPrices
2018-19833,Reentrancy vulnerability,burn
2018-19833,Integer overflow,mintToken
2018-19833,Integer overflow,transfer
2018-19833,Unchecked return value,transfer
2018-19833,Unchecked return value,burn
2018-14089,Reentrancy,burn
2018-14089,Integer Overflow,burn
2018-14089,Unchecked Ether Transfer,withdraw
2018-14089,Unchecked Ether Transfer,withdrawForeignTokens
2018-15552,Reentrancy Vulnerability,AddTicket
2018-15552,Reentrancy Vulnerability,PayWinner
2018-15552,Unauthorized Access,withdraw
2018-15552,Information Exposure,getBalance
2018-15552,Information Exposure,getLastTicketTime
2019-15078,Reentrancy Vulnerability,getTokens
2019-15078,Reentrancy Vulnerability,distr
2019-15078,Reentrancy Vulnerability,transfer
2019-15078,Reentrancy Vulnerability,transferFrom
2019-15078,Reentrancy Vulnerability,burn
2018-13085,Uninitialized balances,burn
2018-13085,Uninitialized balances,balanceOf
2018-13085,Uninitialized balances,_transfer
2018-13085,Uninitialized balances,transfer
2018-13085,Uninitialized balances,transferFrom
2018-14063,Reentrancy,transfer
2018-14063,Reentrancy,transferFrom
2018-14063,Front-running,increaseApproval
2018-14063,Front-running,decreaseApproval
2018-14063,Ownership Transfer,transferOwnership
2018-13087,Unauthorized Transfer of Ownership,transferOwnership
2018-13087,Unauthorized Approval and Call,approveAndCall
2018-13087,Unauthorized Burn,burn
2018-13087,Unauthorized Burn From,burnFrom
2018-13087,Unauthorized Price Change,setPrices
2018-12070,Integer Overflow,SECToken
2018-12070,Integer Overflow,_transfer
2018-12070,Integer Overflow,mintToken
2018-12070,Integer Overflow,buy
2018-12070,Integer Overflow,sell
2018-13698,Unauthorized minting,mintTokens
2018-13698,Unauthorized promotion value change,setPromo
2018-13698,Unauthorized transferFrom,transferFrom
2018-13698,Unauthorized approval,approve
2018-13698,Unauthorized allowance check,allowance
2018-10706,Unchecked Return Value,changeAirdropQty
2018-10706,Unchecked Return Value,changeTokensPerEther
2018-10706,Unchecked Return Value,changeOwner
2018-10706,Unchecked Return Value,generateTokens
2018-10706,Unchecked Return Value,destroyTokens
2019-15079,Integer Overflow,burn
2019-15079,Unchecked Return Value,transfer
2019-15079,Unchecked Return Value,transferFrom
2019-15079,Unchecked Return Value,burnFrom
2018-14087,Unauthorized Transfer of Ownership,transferOwnership
2018-14087,Unauthorized Approval and Call,approveAndCall
2018-14087,Unauthorized Burn,burn
2018-14087,Unauthorized Burn From,burnFrom
2018-14087,Unauthorized Self-Destruction,selfdestructs
2018-12067,Reentrancy,transfer
2018-12067,Reentrancy,transferFrom
2018-12067,Reentrancy,approveAndCall
2018-12067,Reentrancy,buy
2018-12067,Reentrancy,sell
2018-18665,Reentrancy,balanceOf
2018-18665,Reentrancy,transfer
2018-18665,Reentrancy,transferFrom
2018-18665,Reentrancy,approve
2018-18665,Reentrancy,allowance
2021-34272,Unauthorized Transfer of Ownership,transferOwnership
2021-34272,Unauthorized Approval and Call,approveAndCall
2021-34272,Unauthorized Burn,burn
2021-34272,Unauthorized Burn From,burnFrom
2021-34272,Unauthorized Exchange Setting,setExchange
2018-13703,Unauthorized Access,setEthRate
2018-13703,Unauthorized Access,setTokenPrice
2018-13703,Unauthorized Access,setTransferStatus
2018-13703,Unchecked Remaining Balance,sellOffline
2018-13703,Exposure of Private Information,getConBal
2018-13069,Unauthorized Transfer of Ownership,transferOwnership
2018-13069,Unauthorized Approval and Call,approveAndCall
2018-13069,Unauthorized Burn,burn
2018-13069,Unauthorized Burn From,burnFrom
2018-13069,Unauthorized Price Change,setPrices
2021-3004,Unchecked Return Value,deposit
2021-3004,Unchecked Return Value,withdraw
2021-3004,Unchecked Return Value,notifyFeeAmount
2021-3004,Unchecked Return Value,getReward
2021-3004,Unchecked Return Value,stake
2020-35962,Unauthorized Access,updateSettings
2020-35962,Unauthorized Access,claimStakingReward
2020-35962,Unauthorized Access,fundDAO
2020-35962,Unauthorized Access,sellTokenForLRC
2020-35962,Information Exposure,getProtocolFeeStats
2018-13127,Unchecked Return Value,mint
2018-13127,Unauthorized Access,unfreeze
2018-13127,Frozen Token,transfer
2018-13127,Frozen Token,transferFrom
2018-13127,Frozen Token,approve
2018-13041,Integer Overflow,mint
2018-13041,Unchecked Return Value,mint
2018-13041,Reentrancy,transfer
2018-13041,Reentrancy,transferFrom
2018-13091,Unauthorized minting,mintToken
2018-13091,Unauthorized transfer,transferFrom
2018-13091,Unauthorized approval,approveAndCall
2018-13091,Unauthorized burning,burn
2018-13091,Unauthorized burning,burnFrom
2018-12068,Reentrancy,transfer
2018-12068,Reentrancy,transferFrom
2018-12068,Reentrancy,approveAndCall
2018-12068,Reentrancy,buy
2018-12068,Reentrancy,sell
2018-14084,Self-destruction,selfdestructs
2018-14084,Unauthorized transfer,getEth
2018-14084,Unauthorized modification of total supply,newinitialSupply
2018-14084,Unauthorized modification of exchange rates,setPrices
2018-14084,Unauthorized purchase,buy
2018-13327,Reentrancy Vulnerability,transfer
2018-13327,Reentrancy Vulnerability,transferFrom
2018-13327,Unchecked Call Return Value,approveAndCall
2018-11411,Extract the vulnerability name,distributeFUD
2018-11411,Extract the function name.,distributeFUD
2018-11411,Extract the vulnerability name,withdrawForeignTokens
2018-11411,Extract the function name.,withdrawForeignTokens
2018-11411,Extract the vulnerability name,balanceOf
2018-11411,Extract the function name.,balanceOf
2018-11411,Extract the vulnerability name,transfer
2018-11411,Extract the function name.,transfer
2018-11411,Extract the vulnerability name,transferFrom
2018-11411,Extract the function name.,transferFrom
2018-17987,Reentrancy,claimTile
2018-17987,Reentrancy,claimWinnings
2018-17987,Unchecked Ether Transfer,updateGameCost
2018-17987,Unchecked Ether Transfer,claimOwnersEarnings
2018-17987,Unchecked Ether Transfer,cancelContract
2018-12511,Denial of Service,buy
2018-12511,Denial of Service,sell
2018-12511,Reentrancy,transfer
2018-12511,Reentrancy,transferFrom
2018-12511,Reentrancy,approveAndCall
2018-14005,Unchecked Balance Subtraction,transferAUTOtokens10
2018-14005,Unchecked Balance Subtraction,transferAUTOtokens5
2018-14005,Unchecked Balance Subtraction,transferAUTOtoken1
2018-14005,Unchecked Balance Subtraction,transferAny
2018-14005,Unchecked Balance Addition,transferAUTOtokens10
2018-14005,Unchecked Balance Addition,transferAUTOtokens5
2018-14005,Unchecked Balance Addition,transferAUTOtoken1
2018-14005,Unchecked Balance Addition,transferAny
2018-11335,Unchecked Return Value,mint
2018-11335,Unchecked Return Value,transfer
2018-11335,Unchecked Return Value,transferFrom
2018-11335,Unchecked Return Value,approve
2018-11335,Unchecked Return Value,migrate
2018-13089,Unauthorized Transfer of Ownership,transferOwnership
2018-13089,Unauthorized Approval and Call,approveAndCall
2018-13089,Unauthorized Burn,burn
2018-13089,Unauthorized Burn From,burnFrom
2018-13089,Unauthorized Price Change,setPrices
2018-13086,Unauthorized Transfer of Ownership,transferOwnership
2018-13086,Unsafe Burn Function,burn
2018-13086,Unsafe Burn From Function,burnFrom
2018-13086,Unsafe Buy Function,buy
2018-13086,Unsafe Approval and Call,approveAndCall
2018-13228,Denial of Service Vulnerability,buy
2018-13228,Denial of Service Vulnerability,sell
2018-13228,Unauthorized Token Minting,mintToken
2018-13228,Frozen Account Vulnerability,transfer
2018-13228,Frozen Account Vulnerability,transferFrom
2018-12080,Missing Access Control,INTToken
2018-12080,Missing Access Control,_transfer
2018-12080,Missing Access Control,mintToken
2018-12080,Missing Access Control,freezeAccount
2018-12080,Missing Access Control,setPrices
2018-17882,Integer Overflow,safeAdd
2018-17882,Integer Underflow,safeSub
2018-17882,Unchecked Return Value,transfer
2018-17882,Unchecked Return Value,transferFrom
2018-17882,Unchecked Return Value,batchTransfer
2018-13126,Unchecked Return Value,mint
2018-13126,Integer Overflow,mint
2018-13126,Integer Overflow,buyTokens
2018-13126,Integer Underflow,buyTokens
2018-13126,Unchecked Return Value,buyTokens
2018-12084,Reentrancy vulnerability,transfer
2018-12084,Reentrancy vulnerability,transferFrom
2018-12084,Reentrancy vulnerability,approveAndCall
2018-13074,Ownership Transfer Vulnerability,transferOwnership
2018-13074,Approve and Call Vulnerability,approveAndCall
2018-13074,Burn Function Vulnerability,burn
2018-13074,Burn From Function Vulnerability,burnFrom
2018-13074,Freeze Account Function Vulnerability,freezeAccount
2020-17752,Arithmetic overflow,GetMaxStageEthAmount
2020-17752,Integer underflow,GetStats
2020-17752,Integer underflow,GetNow
2020-17752,Integer underflow,mintCoins
2020-17752,Integer overflow,mintCoins
2018-13078,Unauthorized Token Minting,mintToken
2018-13078,Unauthorized Account Freezing,freezeAccount
2018-13078,Frozen Account Vulnerability,transfer
2018-13078,Frozen Account Vulnerability,transferFrom
2018-13078,Unauthorized Token Approval,approveAndCall
2019-15080,Reentrancy vulnerability,transfer
2019-15080,Reentrancy vulnerability,transferFrom
2019-15080,Unauthorized burning,burn
2019-15080,Unauthorized blacklisting,blacklistAccount
2019-15080,Unauthorized minting,mintTokens
2018-13778,Ownership Transfer Vulnerability,transferOwnership
2018-13778,Approve and Call Vulnerability,approveAndCall
2018-13778,Burn Function Vulnerability,burn
2018-13778,Burn From Function Vulnerability,burnFrom
2018-13778,Freeze Account Function Vulnerability,freezeAccount
2018-13082,Unauthorized Transfer of Ownership,transferOwnership
2018-13082,Unauthorized Approval and Call,approveAndCall
2018-13082,Unauthorized Burn,burn
2018-13082,Unauthorized Burn From,burnFrom
2018-13082,Unauthorized Price Change,setPrices
2018-12025,Reentrancy vulnerability,transfer
2018-12025,Reentrancy vulnerability,transferFrom
2018-12025,Unauthorized minting,mintToken
2018-12025,Unauthorized freezing,freezeAccount
2018-12025,Unauthorized name change,changeName
2018-12081,Reentrancy,transfer
2018-12081,Reentrancy,transferFrom
2018-12081,Reentrancy,approveAndCall
2018-12081,Reentrancy,buy
2018-12081,Reentrancy,sell
2018-17111,Reentrancy vulnerability,transfer
2018-17111,Reentrancy vulnerability,transferFrom
2018-17111,Unchecked allowance,approve
2018-17111,Unchecked allowance,allowance
2018-17111,Unchecked total supply,Coinlancer
2018-13695,Integer Overflow,mint
2018-13695,Unauthorized Access,Burn
2018-13695,Integer Overflow,safeAdd
2018-13695,Underflow,safeSub
2018-11687,Unauthorized distribution of tokens,distributeBTR
2018-11687,Unauthorized approval of tokens,approve
2018-11687,Unauthorized transfer of tokens,transferFrom
2018-11239,Extract the vulnerability name,burn
2018-11239,Extract the function name.,burn
2018-11239,Extract the vulnerability name,transferFrom
2018-11239,Extract the function name.,transferFrom
2018-11239,Extract the vulnerability name,_transfer
2018-11239,Extract the function name.,_transfer
2018-13202,Reentrancy vulnerability,transfer
2018-13202,Reentrancy vulnerability,transferFrom
2018-13202,Reentrancy vulnerability,approveAndCall
2018-13202,Integer overflow vulnerability,buy
2018-13202,Integer underflow vulnerability,sell
2018-13077,Unauthorized Transfer of Ownership,transferOwnership
2018-13077,Unauthorized Burn of Tokens,burn
2018-13077,Unauthorized Burn of Tokens from Other Accounts,burnFrom
2018-13077,Unauthorized Update of Exchange Rates,setPrices
2018-13077,Unauthorized Purchase of Tokens,buy
2021-34270,Unchecked Balance,mintToken
2021-34270,Unchecked Balance,mine
2021-34270,Unchecked Balance,buy
2021-34270,Unchecked Balance,sell
2021-34270,Unchecked Balance,transfer
2018-12959,Reentrancy,balanceOf
2018-12959,Reentrancy,transfer
2018-12959,Reentrancy,transferFrom
2018-12959,Reentrancy,approve
2018-12959,Reentrancy,allowance
2018-13493,Integer Overflow,TokenERC20
2018-13493,Integer Overflow,_transfer
2018-13493,Integer Overflow,burn
2018-13493,Integer Overflow,burnFrom
2018-13493,Integer Overflow,DaddyToken
2018-13068,Ownership Transfer Vulnerability,transferOwnership
2018-13068,Token Minting Vulnerability,mintToken
2018-13068,Account Freezing Vulnerability,freezeAccount
2018-13068,Approve and Call Vulnerability,approveAndCall
2018-13068,Token Burning Vulnerability,burn
2018-11446,Unauthorized Access,setAdmin
2018-11446,Unauthorized Access,setICO
2018-11446,Unauthorized Access,setMinBalance
2018-11446,Unauthorized Access,setUsersCanTrade
2018-11446,Unauthorized Access,setCanTrade
2018-19832,Reentrancy vulnerability,distr
2018-19832,Reentrancy vulnerability,getTokens
2018-19832,Unchecked return value,distr
2018-19832,Unchecked return value,getTokens
2018-13083,Ownership Transfer Vulnerability,transferOwnership
2018-13083,Approve and Call Vulnerability,approveAndCall
2018-13083,Burn Function Vulnerability,burn
2018-13083,Burn From Function Vulnerability,burnFrom
2018-13083,Freeze Account Function Vulnerability,freezeAccount
2018-13090,Ownership Transfer Vulnerability,transferOwnership
2018-13090,Approval and Call Vulnerability,approveAndCall
2018-13090,Burn Function Vulnerability,burn
2018-13090,Burn From Function Vulnerability,burnFrom
2018-13090,Price Setting Vulnerability,setPrices
2018-13220,Denial of Service Vulnerability,buy
2018-13220,Denial of Service Vulnerability,sell
2018-13220,Frozen Account Vulnerability,transfer
2018-13220,Frozen Account Vulnerability,transferFrom
2018-13220,Unauthorized Token Minting,mintToken
2018-12063,Missing Access Control,INTToken
2018-12063,Missing Access Control,_transfer
2018-12063,Missing Access Control,mintToken
2018-12063,Missing Access Control,freezeAccount
2018-12063,Missing Access Control,setPrices
2018-13230,Denial of Service Vulnerability,buy
2018-13230,Denial of Service Vulnerability,sell
2018-13230,Unauthorized Token Minting,mintToken
2018-13230,Frozen Account Vulnerability,transfer
2018-13230,Frozen Account Vulnerability,transferFrom
2018-13092,Unauthorized Transfer of Ownership,transferOwnership
2018-13092,Unauthorized Token Minting,mintToken
2018-13092,Unsafe Token Transfer,transferFrom
2018-13092,Unsafe Approval and Call,approveAndCall
2018-13092,Unsafe Token Approval,approve
2018-12082,Reentrancy,transfer
2018-12082,Reentrancy,transferFrom
2018-12082,Unchecked Ether Receipt,buy
2018-12082,Unchecked Ether Receipt,withdrawToOwner
2018-12082,Unchecked Ether Receipt,mintToken
2018-13080,Reentrancy vulnerability,transfer
2018-13080,Reentrancy vulnerability,transferFrom
2018-13080,Reentrancy vulnerability,approveAndCall
2018-19831,Reentrancy,burn
2018-19831,Reentrancy,getTokens
2018-19831,Reentrancy,transferFrom
2018-19831,Reentrancy,transfer
2018-19831,Reentrancy,balanceOf
2018-13225,Reentrancy,transfer
2018-13225,Reentrancy,transferFrom
2018-13225,Reentrancy,approveAndCall
2018-13225,Denial of Service,buy
2018-13225,Denial of Service,sell
2018-13189,Unchecked Return Value,mint
2018-13189,Unchecked Return Value,foreignBuy
2018-13189,Unchecked Return Value,finish
2018-13189,Unchecked Return Value,withdraw
2018-13189,Unchecked Return Value,transfer
2018-12079,Reentrancy,transfer
2018-12079,Reentrancy,transferFrom
2018-12079,Reentrancy,approveAndCall
2018-12079,Reentrancy,buy
2018-12079,Reentrancy,sell
2018-19834,Unauthorized Initialization,quaker
2018-19834,Unauthorized Token Minting,mint
2018-19834,Unauthorized Token Burning,pullBack
2018-19834,Incorrect Total Supply Calculation,totalSupply
2018-19834,Incorrect Token Balance Calculation,balanceOf
2018-13783,Unauthorized Transfer of Ownership,transferOwnership
2018-13783,Self-Destruct,kill
2018-13783,Unauthorized Price Update,setPrices
2018-13783,Unauthorized Token Purchase,buy
2018-13783,Unauthorized Token Sale,sell
2018-13221,Unchecked Return Value,mintToken
2018-13221,Unchecked Return Value,sell
2018-13221,Unchecked Return Value,transfer
2018-12975,Unchecked return value,mint
2018-12975,Unchecked return value,deploy
2018-12975,Unchecked return value,addExp
2018-12975,Unchecked return value,levelUp
2018-12975,Unchecked return value,transferDeposit
2018-12454,Integer Overflow,setBettingCondition
2018-12454,Integer Underflow,addguess
2018-13782,Denial of Service Vulnerability,buy
2018-13782,Denial of Service Vulnerability,sell
2018-13782,Unauthorized Token Minting,mintToken
2018-13782,Frozen Account Vulnerability,transfer
2018-13782,Frozen Account Vulnerability,transferFrom
2018-13779,Reentrancy,transfer
2018-13779,Reentrancy,transferFrom
2018-13779,Reentrancy,approveAndCall
2018-13779,Reentrancy,buy
2018-13779,Reentrancy,sell
2018-13836,Unauthorized Access,setupAirDrop
2018-13836,Unauthorized Access,withdrawFunds
2018-13836,Unchecked Array Length,multiTransfer
2018-13836,Unchecked Array Length,transferFrom
2018-13836,Unchecked Array Length,transfer
2018-14576,Reentrancy vulnerability,transfer
2018-14576,Reentrancy vulnerability,approveAndCall
2018-14576,Reentrancy vulnerability,transferFrom
2018-13625,Unauthorized Token Burn,burnlvlToken
2018-13625,Reentrancy,transfer
2018-13625,Reentrancy,transferFrom
2018-13625,Reentrancy,lend
2018-13625,Reentrancy,repayLoan
2018-19830,Frozen Account Vulnerability,freezeAccount
2018-19830,Frozen Account Vulnerability,transfer
2018-19830,Frozen Account Vulnerability,transferFrom
2018-19830,Liquidity Switching Vulnerability,switchLiquidity
2018-19830,Liquidity Switching Vulnerability,liquidityStatus
2018-10944,Unchecked Return Value,__callback
2018-10944,Unchecked Return Value,request_dividend
2018-10944,Unchecked Return Value,transfer_ownership
2018-10944,Unchecked Return Value,drain
2018-10944,Unchecked Return Value,convert
2018-14002,Reentrancy,balanceOf
2018-14002,Reentrancy,transfer
2018-14002,Reentrancy,transferFrom
2018-14002,Reentrancy,approve
2018-14002,Reentrancy,distribute
2018-13113,Reentrancy,transfer
2018-13113,Reentrancy,transferFrom
